tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0099840,movie,In the Shadow of the Sandcastle,In the Shadow of the Sandcastle,0,1996,\N,79,"Crime,Drama"
tt0103655,movie,Almost Blue,Almost Blue,0,1996,\N,85,"Drama,Thriller"
tt0104730,movie,Lilien in der Bank,Lilien in der Bank,0,1996,\N,104,\N
tt0106282,movie,Angesichts der Wälder,Angesichts der Wälder,0,1996,\N,82,\N
tt0106322,movie,Augustitango,Augustitango,0,1996,\N,58,Drama
tt0106421,movie,Black Jack: The Movie,Burakku jakku,0,1996,\N,90,"Animation,Drama,Thriller"
tt0106445,movie,Boatman,Boatman,0,1996,\N,55,Documentary
tt0106621,movie,Sister Island,Cries of Silence,0,1996,\N,109,Drama
tt0107025,movie,God's Lonely Man,God's Lonely Man,0,1996,\N,98,Drama
tt0107167,movie,Hundan al Belgrano,Hundan al Belgrano,0,1996,\N,117,"Documentary,History,War"
tt0107314,movie,Kids of Survival,Kids of Survival,0,1996,\N,87,Documentary
tt0108182,movie,Souvenir,Souvenir,0,1996,\N,78,Drama
tt0109159,movie,Asphaltflimmern,Asphaltflimmern,0,1996,\N,81,Drama
tt0109239,movie,White Feast,Belyy prazdnik,0,1996,\N,102,Drama
tt0109355,movie,Bésame mucho,Bésame mucho,0,1996,\N,111,"Crime,Drama"
tt0109601,movie,Les derniers jours d'Emmanuel Kant,Les derniers jours d'Emmanuel Kant,0,1996,\N,70,Biography
tt0109606,movie,Nude with Oranges,Desnudo con naranjas,0,1996,\N,110,Drama
tt0109734,movie,Enter Achilles,Enter Achilles,0,1996,\N,50,\N
tt0110013,movie,Henry & Verlin,Henry & Verlin,0,1996,\N,87,Drama
tt0110028,movie,Highway of Heartache,Highway of Heartache,0,1996,\N,86,"Comedy,Musical"
tt0110125,movie,The Cold Light of Day,The Cold Light of Day,0,1996,\N,96,"Drama,Thriller"
tt0110191,movie,Jeune fille au livre,Jeune fille au livre,0,1996,\N,\N,\N
tt0110294,movie,Ladri di cinema,Ladri di cinema,0,1996,\N,95,Comedy
tt0110316,movie,Lazarus,Lazarus,0,1996,\N,87,Drama
tt0110424,movie,Maceo,Maceo,0,1996,\N,85,"Documentary,Music"
tt0110447,movie,Making the Rules,Making the Rules,0,1996,\N,96,\N
tt0110463,movie,Dr. Wai in the Scripture with No Words,Mo him wong,0,1996,\N,91,"Action,Adventure,Comedy"
tt0110670,movie,Niki de Saint Phalle,Niki de Saint Phalle: Wer ist das Monster - du oder ich?,0,1996,\N,93,"Biography,Documentary"
tt0110797,movie,Patriots,Patriots,0,1996,\N,83,Thriller
tt0110905,movie,Przygody Joanny,Przygody Joanny,0,1996,\N,90,Family
tt0111053,movie,Safar,Safar,0,1996,\N,84,Drama
tt0111129,movie,La serva amorosa,La serva amorosa,0,1996,\N,166,"Comedy,Drama"
tt0111155,movie,Share the Moon,Share the Moon,0,1996,\N,\N,Drama
tt0111248,movie,South Beach Academy,South Beach Academy,0,1996,\N,91,Comedy
tt0111305,movie,Sucesos distantes,Sucesos distantes,0,1996,\N,105,"Drama,Mystery,Thriller"
tt0111533,movie,Törvénytelen,Törvénytelen,0,1996,\N,104,Crime
tt0111645,movie,Los vuelcos del corazón,Los vuelcos del corazón,0,1996,\N,130,"Drama,Romance"
tt0111678,movie,The Wedding Tape,The Wedding Tape,0,1996,\N,\N,\N
tt0111886,movie,Autsch!!!,Autsch!!!,0,1996,\N,90,Drama
