nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000482,Sylvia Kristel,1952,2012,"actress,soundtrack,director","tt0081249,tt0078740,tt0071464,tt0077497"
nm0822868,Huub Stapel,1954,\N,"actor,soundtrack","tt0244327,tt0112116,tt0119472,tt0094651"
nm0416528,Godfrey James,1931,\N,"actor,soundtrack","tt0404196,tt0120921,tt0086818,tt0490758"
nm0562807,Ferdy Mayne,1916,1998,actor,"tt0091757,tt0087078,tt0065207,tt0061655"
nm0089362,Philippe Blot,\N,\N,"director,producer,writer","tt0140242,tt0099840,tt0092582,tt0112563"
nm0196866,Yves Dahan,\N,\N,"cinematographer,camera_department","tt0111856,tt1458696,tt0091774,tt1616523"
nm0343190,Frederik de Groot,1946,\N,"actor,writer","tt0105965,tt0149468,tt0149454,tt0115407"
nm0893487,John Venzon,\N,\N,"editorial_department,editor,actor","tt4624424,tt4116284,tt0424095,tt0158983"
nm0000514,Michael Madsen,1957,\N,"actor,producer,writer","tt3460252,tt0114508,tt0105236,tt0266697"
nm0907088,Lynette Walden,1961,\N,actress,"tt0106387,tt0105994,tt0109484,tt2382396"
nm0606541,Garrett Morris,1937,\N,"actor,soundtrack,writer","tt0106598,tt0278488,tt0478970,tt0072562"
nm0563037,Gale Mayron,\N,\N,"actress,director,writer","tt0096969,tt0095428,tt0088513,tt0110759"
nm0915394,Keoni Waxman,1968,\N,"producer,director,writer","tt0113369,tt0339526,tt1563719,tt3503840"
nm0647892,Doug Olson,\N,\N,"producer,soundtrack,actor","tt0158785,tt0095539,tt0103655,tt0437245"
nm0662053,Anthony Parker,1931,\N,"director,producer,actor","tt0052320,tt0125624,tt0068134,tt0078688"
nm0385586,Nelson G. Hinds,\N,\N,composer,tt0103655
nm0277715,Steven Finestone,\N,\N,"camera_department,cinematographer,producer","tt1229238,tt1413492,tt2872718,tt0465538"
nm0118243,Hans-Jürgen Buchner,1944,\N,"composer,actor,music_department","tt0092246,tt0107475,tt0443432,tt0011525"
nm0774159,Werner Schneyder,1937,2019,"writer,actor,director","tt0068084,tt0290077,tt0371451,tt0074066"
nm0117664,Wenzel Brücher,\N,\N,actor,"tt0334846,tt0104730,tt0131157,tt0096587"
nm0858412,Georg Thomalla,1915,1999,"actor,soundtrack,director","tt0044794,tt0052776,tt0051053,tt0051165"
nm0856918,Katharina Thalbach,1954,\N,"actress,director,soundtrack","tt8437226,tt0084707,tt0078875,tt2725576"
nm0742144,Marianne Rosenbaum,1940,1999,"director,writer","tt0320502,tt0246378,tt0086093,tt0104730"
nm0759617,Gérard Samaan,1943,2001,"director,writer,editor","tt0080369,tt0246378,tt0104730,tt0357369"
nm1186173,Nurith-Hayat Samaan,\N,\N,"actress,writer","tt0104730,tt0320502"
nm4021804,Manja Peters,\N,\N,producer,tt0104730
nm0845765,Leo Süßmeir,\N,\N,"production_manager,location_management,producer","tt0085171,tt0088226,tt0104730,tt1325270"
nm0433460,Siegrun Jäger,\N,\N,editor,"tt0075791,tt0079346,tt0086922,tt0093930"
nm0009520,Kalia Abusite,\N,\N,actress,tt0106282
nm0009521,Muhamed Abusite,\N,\N,actor,tt0106282
nm0009522,Rami Abusite,\N,\N,actor,tt0106282
nm0070109,Ya'ackov Ben-Sira,1927,2016,actor,"tt0086232,tt0057992,tt0147586,tt0079368"
nm0510245,Peter Lilienthal,1929,\N,"director,writer,actor","tt0093930,tt0086922,tt0074491,tt0079028"
nm0420471,Avraham B. Yehoshua,1936,\N,"writer,actor","tt0093930,tt12702898,tt0138100,tt3250096"
nm0354671,Thomas Halaczinsky,\N,\N,"producer,director,writer","tt1773693,tt3553768,tt1865701,tt1256500"
nm0052564,Claus Bantzer,1942,\N,"composer,actor,music_department","tt0093930,tt0091719,tt0086922,tt0090566"
nm0005914,Gérard Vandenberg,1932,1999,"cinematographer,director,writer","tt0163052,tt0059153,tt0090806,tt0060158"
nm0344978,Elisabeth Grönqvist,\N,\N,actress,"tt0066037,tt0106322,tt0203272,tt0068808"
nm0927092,Johan Widerberg,1974,\N,"actor,writer","tt3750872,tt0113720,tt4080728,tt0349903"
nm0034023,Sten Ardenstam,1921,1993,actor,"tt0066736,tt0049396,tt0069667,tt0062178"
nm0067892,Anders Beling,1932,\N,actor,"tt0106322,tt0059189,tt4826806,tt0061833"
nm0841151,Lennart Svensson,\N,\N,"actor,director,editor","tt0070733,tt0059341,tt0088219,tt0106322"
nm0082917,Daniel Bingert,\N,\N,"composer,actor,music_department","tt0263108,tt0985680,tt0106322,tt8903332"
nm0125762,Matti Bye,1966,\N,"composer,music_department,soundtrack","tt0961066,tt2787570,tt2188741,tt4940370"
nm0085022,Lasse Björne,1926,2013,"cinematographer,camera_department","tt0052653,tt0061055,tt0062619,tt0062023"
nm0960200,Peter Östlund,\N,\N,"cinematographer,camera_department,director","tt8979766,tt3211458,tt0278534,tt9332544"
nm0945618,Kuniaki Yamashita,\N,\N,"writer,producer","tt0287060,tt3417326,tt1483339,tt1493232"
nm0297800,Hiroshi Fujioka,1946,\N,"actor,writer,producer","tt0156676,tt5307266,tt0156250,tt0156214"
nm0861558,Kirk Thornton,1956,\N,"actor,miscellaneous,writer","tt0107692,tt1174954,tt7737786,tt0156887"
nm0960033,Akio Ôtsuka,1959,\N,actor,"tt0347246,tt0113568,tt0851578,tt0388473"
nm0459459,Julie Maddalena,1963,\N,"actress,miscellaneous,art_director","tt0397020,tt0087050,tt0430279,tt0120575"
nm0223411,Osamu Dezaki,1943,2011,"director,art_department,writer","tt1690442,tt0235138,tt0163494,tt4060956"
nm0511665,Udo Lindenberg,1946,\N,"music_department,actor,composer","tt0086391,tt0081301,tt0328849,tt0070755"
nm0605231,Eto Mori,\N,\N,writer,"tt9021140,tt1677561,tt0260814,tt1258195"
nm0645477,Kihachi Okamoto,1923,2005,"director,writer,assistant_director","tt0060277,tt0175755,tt0101648,tt0057941"
nm0856804,Osamu Tezuka,1928,1989,"writer,director,animation_department","tt0088856,tt0375568,tt0055760,tt0061077"
nm0742941,Gianfranco Rosi,1964,\N,"director,cinematographer,writer","tt1270612,tt3652526,tt3172520,tt7945450"
nm0702741,Jacopo Quadri,1964,\N,"editor,director,writer","tt0263124,tt0309987,tt1801061,tt0149723"
nm0360048,Wade Hanks,\N,\N,"cinematographer,camera_department,sound_department","tt0090149,tt0288023,tt0090710,tt0069006"
nm0948723,Kathleen York,1975,\N,"actress,soundtrack,writer","tt0200276,tt0375679,tt3205802,tt7772602"
nm0000947,Karen Black,1939,2013,"actress,soundtrack,writer","tt0073440,tt0071577,tt0251736,tt0065724"
nm0625343,Ed Nelson,1928,2014,"actor,special_effects,producer","tt0313542,tt0091777,tt0075142,tt0127357"
nm0186761,Ellen Crawford,1951,\N,actress,"tt0756683,tt0108757,tt0491175,tt0120157"
nm0189484,Avery Crounse,1951,\N,"director,writer,producer","tt0095381,tt0085515,tt0106621"
nm0055401,Michael Barnard,\N,\N,"producer,cinematographer,editor","tt0288045,tt1284437,tt0100232,tt9104204"
nm0630026,Nancy Nickerson,\N,\N,"producer,production_manager,camera_department","tt0106621,tt0095381,tt0087523,tt0112993"
nm0703893,John Harrison Quinn,1940,1999,producer,"tt0104531,tt0106621"
nm0392627,Nigel Holton,1952,2006,"composer,music_department","tt0418134,tt0113926,tt0102221,tt0106521"
nm0534716,Lawrence A. Maddox,\N,\N,"editor,editorial_department,actor","tt1615919,tt5990096,tt0816545,tt5580540"
nm0943723,Michael Wyle,\N,\N,actor,"tt0083929,tt0119163,tt0106353,tt0090213"
nm0910256,Jamie Walters,1969,\N,"actor,soundtrack","tt0098749,tt0096732,tt0103439,tt0096684"
nm1270793,Kyle Kelley,\N,\N,actor,tt0107025
nm0000868,Justine Bateman,1966,\N,"actress,producer,soundtrack","tt0083413,tt0367279,tt6662050,tt6852672"
nm0903271,Francis von Zerneck,1968,\N,"actor,director,editorial_department","tt2034131,tt0107025,tt0099137,tt0091938"
nm0840239,Randy Sutter,\N,\N,"producer,miscellaneous,production_manager","tt1553656,tt1798274,tt0118452,tt0468988"
nm0903272,Danielle von Zerneck,1965,\N,"actress,producer","tt0093378,tt8883456,tt4144890,tt0113677"
nm0269896,James Fearnley,1954,\N,"composer,music_department,soundtrack","tt0118174,tt0107025,tt3733188,tt5778634"
nm0807932,Dennis Smith,\N,\N,"cinematographer,director,camera_department","tt0088000,tt0099785,tt0098439,tt0118437"
nm0881971,Federico Urioste,1940,\N,"director,writer,producer","tt0374570,tt0107167,tt0089903,tt0423050"
nm0766884,Luis María Serra,\N,\N,"composer,music_department,soundtrack","tt0120250,tt1874592,tt0182035,tt0090987"
nm0702297,Miguel Pérez,1943,\N,"editor,director,writer","tt0202223,tt0113941,tt0108291,tt0109385"
nm3636920,Carlos Rivera,\N,\N,,tt0107314
nm3636152,Victor Llanos,\N,\N,,tt0107314
nm3636259,Chris Hernandez,1978,1993,,tt0107314
nm3636496,Rick Saviron,\N,\N,,tt0107314
nm0002739,Daniel Geller,\N,\N,"producer,director,cinematographer","tt2960450,tt0109851,tt0107314,tt0436095"
nm0325603,Dayna Goldfine,\N,\N,"producer,director,editor","tt0436095,tt0107314,tt2960450,tt0109851"
nm0091250,Todd Boekelheide,\N,\N,"composer,sound_department,music_department","tt0102015,tt0137523,tt0086879,tt4126312"
nm0278004,Elizabeth Finlayson,\N,\N,"editor,editorial_department,director","tt4295132,tt3569900,tt0107314,tt0213959"
nm0325201,Eve Goldberg,\N,\N,"editor,writer,editorial_department","tt0107314,tt4079168,tt0094913,tt1863964"
nm0411468,Laura Israel,\N,\N,"editor,producer,director","tt1581829,tt4779036,tt6722788,tt4286166"
nm0592075,D. Stanton Miranda,\N,\N,"actor,soundtrack,music_department","tt0102926,tt0095593,tt0091983,tt0108182"
nm1222240,Manon Blanc,\N,\N,actress,tt0108182
nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,director","tt0280707,tt0116209,tt1602613,tt0109831"
nm0693799,Melvil Poupaud,1973,\N,"actor,director,writer","tt0417189,tt0811080,tt1650048,tt1928329"
nm7994174,Michael H. Shamberg,1952,2014,"composer,producer,director","tt0108182,tt0275614,tt5902334,tt0093912"
nm0459852,Jason Kliot,1963,\N,"producer,assistant_director,director","tt1016268,tt0379217,tt8267604,tt0114906"
nm0895903,Joana Vicente,\N,\N,"producer,executive,actress","tt0364961,tt0114906,tt0379217,tt0211933"
nm0378563,James Herbert,1938,\N,"director,cinematographer,producer","tt0194395,tt0457446,tt0127800,tt0955821"
nm0090867,Kristina Boden,\N,\N,"editor,editorial_department,producer","tt0387514,tt0106519,tt3442006,tt0989757"
nm0936221,Stephanie Wirth,\N,\N,"art_department,production_designer","tt0383356,tt0109159,tt0124238"
nm0778118,Thorsten Schätz,\N,\N,actor,"tt0109159,tt0118653"
nm0784300,Fati Sengül,\N,\N,actor,tt0109159
nm0696557,Oda Pretschner,\N,\N,actress,"tt0106178,tt0109159,tt0421170,tt0178142"
nm0342673,Sergelj Gritsal,\N,\N,actor,tt0109159
nm0372842,Johannes Hebendanz,\N,\N,"director,camera_department,editor","tt0086402,tt0182312,tt0295620,tt0109159"
nm0461249,Bruno Knoche,\N,\N,"editor,producer",tt0109159
nm1113236,Elke Müller,1959,\N,"producer,production_manager,art_department","tt0896680,tt0117045,tt4368698,tt0362340"
nm0902423,Wolfgang von Henko,\N,\N,"composer,soundtrack,sound_department","tt0098992,tt0100912,tt0112545,tt0109159"
nm0470245,Peter Krause,1961,\N,"cinematographer,camera_department,visual_effects","tt0107076,tt0116629,tt0120685,tt0111282"
nm0069460,Tatyana Belousova,\N,\N,"editor,editorial_department,assistant_director","tt0438961,tt1388358,tt0322250,tt0091600"
nm0810550,Innokentiy Smoktunovskiy,1925,1994,"actor,writer","tt0099345,tt0065127,tt0090086,tt0058126"
nm0246150,Armen Dzhigarkhanyan,1935,2020,actor,"tt0078655,tt0096930,tt1217578,tt0104962"
nm0069412,Natalya Belokhvostikova,1951,\N,"actress,stunts","tt0081609,tt0070431,tt0074762,tt0065140"
nm0622648,Natalya Naumova,\N,\N,"actress,director","tt0081609,tt0937353,tt1283294,tt1777632"
nm0622643,Vladimir Naumov,1927,\N,"director,writer,actor","tt0065457,tt0055181,tt0086951,tt0081609"
nm0346096,Tonino Guerra,1920,2012,"writer,actor,assistant_director","tt0053619,tt0071129,tt0087537,tt0060176"
nm0904410,Aleksandr Vulfov,\N,\N,producer,tt0109239
nm0796062,Isaac Schwarts,1923,2009,"composer,soundtrack","tt0319297,tt0103792,tt0320302,tt0104776"
nm0015304,Lomer Akhvlediani,1934,\N,"cinematographer,camera_department","tt0171080,tt0275858,tt0170265,tt0286501"
nm0342533,Amparo Grisales,1956,\N,actress,"tt1585368,tt0450340,tt6809396,tt0257282"
nm1753449,Antonio Drija,\N,\N,actor,"tt0886467,tt0109355,tt1412411"
nm0735868,Gustavo Rodríguez,1947,2014,"actor,producer","tt0354292,tt0314492,tt0319980,tt0103924"
nm1514931,Athina Klioumi,\N,\N,actress,tt2777882
nm0865927,Philippe Toledano,\N,\N,"producer,director,writer","tt0087745,tt0201613,tt0268255,tt0109355"
nm0484225,Sabine Lancelin,1959,\N,"cinematographer,camera_department","tt0093769,tt0358924,tt6214042,tt8630952"
nm0736110,Ruddy Rodríguez,1967,\N,"actress,producer","tt10508352,tt0093428,tt0361177,tt1034422"
nm0535695,Honorato Magaloni,\N,\N,"actor,writer","tt0109444,tt0087182,tt0865427,tt0097742"
nm0099690,Martine Bouquin,\N,\N,"editor,director,writer","tt11102388,tt0091851,tt0178705,tt0091590"
nm0728406,Christian Rist,\N,\N,actor,"tt0192099,tt0881205,tt0205933,tt0109601"
nm0932870,André Wilms,1947,\N,"actor,soundtrack","tt0109731,tt1508675,tt0158692,tt0105750"
nm0913099,David Warrilow,1934,1995,"actor,soundtrack","tt0109601,tt0093818,tt0081518,tt0101410"
nm0025445,Roland Amstutz,1942,1997,actor,"tt0079322,tt0118996,tt0087903,tt0086206"
