term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2019,97162,AC 0011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/03-12/09', 'location': 'DSBN 201'}]",['MR 1230pm-0145pm 09/03-12/09 DSBN 201'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),31,31,0
Fall2019,97178,AC 0011,02,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/03-12/09', 'location': 'DSBN 201'}]",['TF 0800am-0915am 09/03-12/09 DSBN 201'],Scott M  Brenner,Scott M  Brenner (P),31,28,3
Fall2019,97179,AC 0011,03,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/03-12/09', 'location': 'DSBN 201'}]",['TF 0930am-1045am 09/03-12/09 DSBN 201'],Scott M  Brenner,Scott M  Brenner (P),31,30,1
Fall2019,97180,AC 0011,04,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/03-12/09', 'location': 'DSBN 101'}]",['MR 0930am-1045am 09/03-12/09 DSBN 101'],Paul   Caster,Paul   Caster (P),31,31,0
Fall2019,97181,AC 0011,05,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/03-12/09', 'location': 'DSBN L11'}]",['TF 0330pm-0445pm 09/03-12/09 DSBN L11'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),31,26,5
Fall2019,97325,AC 0011,06,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/03-12/09', 'location': 'DSBN 206'}]",['TF 0930am-1045am 09/03-12/09 DSBN 206'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,31,0
Fall2019,97335,AC 0011,07,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/03-12/09', 'location': 'DSBN 204'}]",['TF 0800am-0915am 09/03-12/09 DSBN 204'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),31,29,2
Fall2019,97498,AC 0011,08P,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/03-12/09', 'location': 'DSBN 201'}]",['TF 1100am-1215pm 09/03-12/09 DSBN 201'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,29,2
Fall2019,97676,AC 0011,09,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/03-12/09', 'location': 'DSBN 101'}]",['TF 0200pm-0315pm 09/03-12/09 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,31,0
Fall2019,97677,AC 0011,10,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/03-12/09', 'location': 'DSBN 101'}]",['TF 0330pm-0445pm 09/03-12/09 DSBN 101'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),31,30,1
Fall2019,97762,AC 0011,11,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/03-12/09', 'location': 'DSBN 204'}]",['MR 1100am-1215pm 09/03-12/09 DSBN 204'],Joan L.  Lee,Joan L.  Lee (P),31,32,-1
Fall2019,97763,AC 0011,12,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/03-12/09', 'location': 'DSBN 206'}]",['TF 1100am-1215pm 09/03-12/09 DSBN 206'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),31,30,1
Fall2019,97764,AC 0011,13,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/03-12/09', 'location': 'DSBN 206'}]",['TF 1230pm-0145pm 09/03-12/09 DSBN 206'],Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),31,31,0
Fall2019,97892,AC 0011,14,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/03-12/09', 'location': 'DSBN 101'}]",['MW 0500pm-0615pm 09/03-12/09 DSBN 101'],Scott M  Brenner,Scott M  Brenner (P),31,31,0
Fall2019,98185,AC 0011,15,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/03-12/09', 'location': 'DSBN 212'}]",['TF 1230pm-0145pm 09/03-12/09 DSBN 212'],Michael P.  Coyne,Michael P.  Coyne (P),31,30,1
Fall2019,98186,AC 0011,16,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/03-12/09', 'location': 'DSBN 212'}]",['TF 0200pm-0315pm 09/03-12/09 DSBN 212'],Michael P.  Coyne,Michael P.  Coyne (P),31,31,0
Fall2019,98829,AC 0011,17,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/03-12/09', 'location': 'DSBN 216'}]",['MR 0800am-0915am 09/03-12/09 DSBN 216'],Jeffrey   Casucci,Jeffrey   Casucci (P),31,30,1
Fall2019,98867,AC 0011,18,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/03-12/09', 'location': 'DSBN 206'}]",['TF 0330pm-0445pm 09/03-12/09 DSBN 206'],Richard   Hunter,Richard   Hunter (P),31,29,2
Fall2019,97138,AC 0012,01,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/03-12/09', 'location': 'DSBN L03'}]",['TF 0800am-0915am 09/03-12/09 DSBN L03'],Patricia M.  Poli,Patricia M.  Poli (P),30,28,2
Fall2019,97035,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/03-12/09', 'location': 'DSBN 113'}]",['MR 0800am-0915am 09/03-12/09 DSBN 113'],Arleen N.  Kardos,Arleen N.  Kardos (P),26,23,3
