term,crn,location,day,start,end
Fall2022,94260,DSBN 215,R,2022-09-08T09:30:00,2022-09-08T10:45:00
Fall2022,94260,DSBN 215,M,2022-09-12T09:30:00,2022-09-12T10:45:00
Fall2022,94260,DSBN 215,R,2022-09-15T09:30:00,2022-09-15T10:45:00
Fall2022,94260,DSBN 215,M,2022-09-19T09:30:00,2022-09-19T10:45:00
Fall2022,94260,DSBN 215,R,2022-09-22T09:30:00,2022-09-22T10:45:00
Fall2022,94260,DSBN 215,M,2022-09-26T09:30:00,2022-09-26T10:45:00
Fall2022,94260,DSBN 215,R,2022-09-29T09:30:00,2022-09-29T10:45:00
Fall2022,94260,DSBN 215,M,2022-10-03T09:30:00,2022-10-03T10:45:00
Fall2022,94260,DSBN 215,R,2022-10-06T09:30:00,2022-10-06T10:45:00
Fall2022,94260,DSBN 215,R,2022-10-13T09:30:00,2022-10-13T10:45:00
Fall2022,94260,DSBN 215,M,2022-10-17T09:30:00,2022-10-17T10:45:00
Fall2022,94260,DSBN 215,R,2022-10-20T09:30:00,2022-10-20T10:45:00
Fall2022,94260,DSBN 215,M,2022-10-24T09:30:00,2022-10-24T10:45:00
Fall2022,94260,DSBN 215,R,2022-10-27T09:30:00,2022-10-27T10:45:00
Fall2022,94260,DSBN 215,M,2022-10-31T09:30:00,2022-10-31T10:45:00
Fall2022,94260,DSBN 215,R,2022-11-03T09:30:00,2022-11-03T10:45:00
Fall2022,94260,DSBN 215,M,2022-11-07T09:30:00,2022-11-07T10:45:00
Fall2022,94260,DSBN 215,R,2022-11-10T09:30:00,2022-11-10T10:45:00
Fall2022,94260,DSBN 215,M,2022-11-14T09:30:00,2022-11-14T10:45:00
Fall2022,94260,DSBN 215,R,2022-11-17T09:30:00,2022-11-17T10:45:00
Fall2022,94260,DSBN 215,M,2022-11-21T09:30:00,2022-11-21T10:45:00
Fall2022,94260,DSBN 215,M,2022-11-28T09:30:00,2022-11-28T10:45:00
Fall2022,94260,DSBN 215,R,2022-12-01T09:30:00,2022-12-01T10:45:00
Fall2022,94260,DSBN 215,M,2022-12-05T09:30:00,2022-12-05T10:45:00
Fall2022,94260,DSBN 215,R,2022-12-08T09:30:00,2022-12-08T10:45:00
Fall2022,94260,DSBN 215,M,2022-12-12T09:30:00,2022-12-12T10:45:00
Fall2022,94261,DSBN 216,R,2022-09-08T12:30:00,2022-09-08T13:45:00
Fall2022,94261,DSBN 216,M,2022-09-12T12:30:00,2022-09-12T13:45:00
Fall2022,94261,DSBN 216,R,2022-09-15T12:30:00,2022-09-15T13:45:00
Fall2022,94261,DSBN 216,M,2022-09-19T12:30:00,2022-09-19T13:45:00
Fall2022,94261,DSBN 216,R,2022-09-22T12:30:00,2022-09-22T13:45:00
Fall2022,94261,DSBN 216,M,2022-09-26T12:30:00,2022-09-26T13:45:00
Fall2022,94261,DSBN 216,R,2022-09-29T12:30:00,2022-09-29T13:45:00
Fall2022,94261,DSBN 216,M,2022-10-03T12:30:00,2022-10-03T13:45:00
Fall2022,94261,DSBN 216,R,2022-10-06T12:30:00,2022-10-06T13:45:00
Fall2022,94261,DSBN 216,R,2022-10-13T12:30:00,2022-10-13T13:45:00
Fall2022,94261,DSBN 216,M,2022-10-17T12:30:00,2022-10-17T13:45:00
Fall2022,94261,DSBN 216,R,2022-10-20T12:30:00,2022-10-20T13:45:00
Fall2022,94261,DSBN 216,M,2022-10-24T12:30:00,2022-10-24T13:45:00
Fall2022,94261,DSBN 216,R,2022-10-27T12:30:00,2022-10-27T13:45:00
Fall2022,94261,DSBN 216,M,2022-10-31T12:30:00,2022-10-31T13:45:00
Fall2022,94261,DSBN 216,R,2022-11-03T12:30:00,2022-11-03T13:45:00
Fall2022,94261,DSBN 216,M,2022-11-07T12:30:00,2022-11-07T13:45:00
Fall2022,94261,DSBN 216,R,2022-11-10T12:30:00,2022-11-10T13:45:00
Fall2022,94261,DSBN 216,M,2022-11-14T12:30:00,2022-11-14T13:45:00
Fall2022,94261,DSBN 216,R,2022-11-17T12:30:00,2022-11-17T13:45:00
Fall2022,94261,DSBN 216,M,2022-11-21T12:30:00,2022-11-21T13:45:00
Fall2022,94261,DSBN 216,M,2022-11-28T12:30:00,2022-11-28T13:45:00
Fall2022,94261,DSBN 216,R,2022-12-01T12:30:00,2022-12-01T13:45:00
Fall2022,94261,DSBN 216,M,2022-12-05T12:30:00,2022-12-05T13:45:00
Fall2022,94261,DSBN 216,R,2022-12-08T12:30:00,2022-12-08T13:45:00
Fall2022,94261,DSBN 216,M,2022-12-12T12:30:00,2022-12-12T13:45:00
Fall2022,94262,DSBN 216,R,2022-09-08T14:00:00,2022-09-08T15:15:00
Fall2022,94262,DSBN 216,M,2022-09-12T14:00:00,2022-09-12T15:15:00
Fall2022,94262,DSBN 216,R,2022-09-15T14:00:00,2022-09-15T15:15:00
Fall2022,94262,DSBN 216,M,2022-09-19T14:00:00,2022-09-19T15:15:00
Fall2022,94262,DSBN 216,R,2022-09-22T14:00:00,2022-09-22T15:15:00
