term,crn,location,day,start,end
Spring2020,34317,DSBN 112,F,2020-01-17T11:00:00,2020-01-17T12:15:00
Spring2020,34317,DSBN 112,T,2020-01-21T11:00:00,2020-01-21T12:15:00
Spring2020,34317,DSBN 112,F,2020-01-24T11:00:00,2020-01-24T12:15:00
Spring2020,34317,DSBN 112,T,2020-01-28T11:00:00,2020-01-28T12:15:00
Spring2020,34317,DSBN 112,F,2020-01-31T11:00:00,2020-01-31T12:15:00
Spring2020,34317,DSBN 112,T,2020-02-04T11:00:00,2020-02-04T12:15:00
Spring2020,34317,DSBN 112,F,2020-02-07T11:00:00,2020-02-07T12:15:00
Spring2020,34317,DSBN 112,T,2020-02-11T11:00:00,2020-02-11T12:15:00
Spring2020,34317,DSBN 112,F,2020-02-14T11:00:00,2020-02-14T12:15:00
Spring2020,34317,DSBN 112,T,2020-02-18T11:00:00,2020-02-18T12:15:00
Spring2020,34317,DSBN 112,F,2020-02-21T11:00:00,2020-02-21T12:15:00
Spring2020,34317,DSBN 112,T,2020-02-25T11:00:00,2020-02-25T12:15:00
Spring2020,34317,DSBN 112,F,2020-02-28T11:00:00,2020-02-28T12:15:00
Spring2020,34317,DSBN 112,T,2020-03-03T11:00:00,2020-03-03T12:15:00
Spring2020,34317,DSBN 112,F,2020-03-06T11:00:00,2020-03-06T12:15:00
Spring2020,34317,DSBN 112,T,2020-03-17T11:00:00,2020-03-17T12:15:00
Spring2020,34317,DSBN 112,F,2020-03-20T11:00:00,2020-03-20T12:15:00
Spring2020,34317,DSBN 112,T,2020-03-24T11:00:00,2020-03-24T12:15:00
Spring2020,34317,DSBN 112,F,2020-03-27T11:00:00,2020-03-27T12:15:00
Spring2020,34317,DSBN 112,T,2020-03-31T11:00:00,2020-03-31T12:15:00
Spring2020,34317,DSBN 112,F,2020-04-03T11:00:00,2020-04-03T12:15:00
Spring2020,34317,DSBN 112,T,2020-04-07T11:00:00,2020-04-07T12:15:00
Spring2020,34317,DSBN 112,T,2020-04-14T11:00:00,2020-04-14T12:15:00
Spring2020,34317,DSBN 112,F,2020-04-17T11:00:00,2020-04-17T12:15:00
Spring2020,34317,DSBN 112,T,2020-04-21T11:00:00,2020-04-21T12:15:00
Spring2020,34317,DSBN 112,F,2020-04-24T11:00:00,2020-04-24T12:15:00
Spring2020,34615,DSBN 112,F,2020-01-17T12:30:00,2020-01-17T13:45:00
Spring2020,34615,DSBN 112,T,2020-01-21T12:30:00,2020-01-21T13:45:00
Spring2020,34615,DSBN 112,F,2020-01-24T12:30:00,2020-01-24T13:45:00
Spring2020,34615,DSBN 112,T,2020-01-28T12:30:00,2020-01-28T13:45:00
Spring2020,34615,DSBN 112,F,2020-01-31T12:30:00,2020-01-31T13:45:00
Spring2020,34615,DSBN 112,T,2020-02-04T12:30:00,2020-02-04T13:45:00
Spring2020,34615,DSBN 112,F,2020-02-07T12:30:00,2020-02-07T13:45:00
Spring2020,34615,DSBN 112,T,2020-02-11T12:30:00,2020-02-11T13:45:00
Spring2020,34615,DSBN 112,F,2020-02-14T12:30:00,2020-02-14T13:45:00
Spring2020,34615,DSBN 112,T,2020-02-18T12:30:00,2020-02-18T13:45:00
Spring2020,34615,DSBN 112,F,2020-02-21T12:30:00,2020-02-21T13:45:00
Spring2020,34615,DSBN 112,T,2020-02-25T12:30:00,2020-02-25T13:45:00
Spring2020,34615,DSBN 112,F,2020-02-28T12:30:00,2020-02-28T13:45:00
Spring2020,34615,DSBN 112,T,2020-03-03T12:30:00,2020-03-03T13:45:00
Spring2020,34615,DSBN 112,F,2020-03-06T12:30:00,2020-03-06T13:45:00
Spring2020,34615,DSBN 112,T,2020-03-17T12:30:00,2020-03-17T13:45:00
Spring2020,34615,DSBN 112,F,2020-03-20T12:30:00,2020-03-20T13:45:00
Spring2020,34615,DSBN 112,T,2020-03-24T12:30:00,2020-03-24T13:45:00
Spring2020,34615,DSBN 112,F,2020-03-27T12:30:00,2020-03-27T13:45:00
Spring2020,34615,DSBN 112,T,2020-03-31T12:30:00,2020-03-31T13:45:00
