term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Spring2022,34780,ACCT 1011,01,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Heather   Baiye,Heather   Baiye (P),25,23,2
Spring2022,34781,ACCT 1011,02,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0200pm-0315pm 01/18-05/11 TBA'],Heather   Baiye,Heather   Baiye (P),25,23,2
Spring2022,35408,ACCT 1011,03,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0800am-0915am 01/18-05/11 TBA'],Catherine   VanSlyck-Giff,Catherine   VanSlyck-Giff (P),25,17,8
Spring2022,34782,ACCT 1012,01,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0800am-0915am 01/18-05/11 TBA'],John   Aland,John   Aland (P),32,31,1
Spring2022,34783,ACCT 1012,02,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],John   Aland,John   Aland (P),32,32,0
Spring2022,34784,ACCT 1012,03,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1230pm-0145pm 01/18-05/11 TBA'],John   Aland,John   Aland (P),32,32,0
Spring2022,34785,ACCT 1012,04,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Dawn W  Massey,Dawn W  Massey (P),32,31,1
Spring2022,34786,ACCT 1012,05,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0200pm-0315pm 01/18-05/11 TBA'],Dawn W  Massey,Dawn W  Massey (P),32,31,1
Spring2022,34787,ACCT 1012,06,3.000,Introduction to Management Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MW 0500pm-0615pm 01/18-05/11 TBA'],Shauna   Balderson,Shauna   Balderson (P),26,26,0
Spring2022,34789,ACCT 1012,07,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],Shauna   Balderson,Shauna   Balderson (P),26,25,1
