term,crn,catalog_id,section,credits,title,timecodes,instructor
Spring2023,37594,ACCT 1011,01,3.000,Introduction to Financial Accounting,['MR 0930am-1045am 01/17-05/10'],Heather   Baiye
Spring2023,38012,ACCT 1011,03,3.000,Introduction to Financial Accounting,['MW 0630pm-0745pm 01/17-05/10'],
Spring2023,37596,ACCT 1012,01,3.000,Introduction to Management Accounting,['MR 1230pm-0145pm 01/17-05/10'],Heather   Baiye
Spring2023,37597,ACCT 1012,02,3.000,Introduction to Management Accounting,['TF 1100am-1215pm 01/17-05/10'],Heather   Baiye
Spring2023,37598,ACCT 1012,03,3.000,Introduction to Management Accounting,['TF 1230pm-0145pm 01/17-05/10'],Heather   Baiye
Spring2023,37599,ACCT 1012,04,3.000,Introduction to Management Accounting,['MR 1100am-1215pm 01/17-05/10'],Rebecca I.  Bloch
Spring2023,37600,ACCT 1012,05,3.000,Introduction to Management Accounting,['MR 1230pm-0145pm 01/17-05/10'],Rebecca I.  Bloch
Spring2023,37601,ACCT 1012,06,3.000,Introduction to Management Accounting,['MR 0200pm-0315pm 01/17-05/10'],Paul   Caster
Spring2023,37602,ACCT 1012,07,3.000,Introduction to Management Accounting,['MR 0330pm-0445pm 01/17-05/10'],Paul   Caster
Spring2023,37603,ACCT 1012,09,3.000,Introduction to Management Accounting,['TF 0200pm-0315pm 01/17-05/10'],Michael P.  Coyne
Spring2023,37604,ACCT 1012,10,3.000,Introduction to Management Accounting,['TF 0330pm-0445pm 01/17-05/10'],Michael P.  Coyne
Spring2023,37605,ACCT 1012,11,3.000,Introduction to Management Accounting,['TF 0930am-1045am 01/17-05/10'],Jo Ann   Drusbosky
Spring2023,37606,ACCT 1012,12,3.000,Introduction to Management Accounting,['TF 1230pm-0145pm 01/17-05/10'],Jo Ann   Drusbosky
Spring2023,37607,ACCT 1012,13,3.000,Introduction to Management Accounting,['TF 0330pm-0445pm 01/17-05/10'],Jo Ann   Drusbosky
Spring2023,37608,ACCT 1012,14,3.000,Introduction to Management Accounting,['MR 0200pm-0315pm 01/17-05/10'],Joan L.  Lee
Spring2023,37609,ACCT 1012,15,3.000,Introduction to Management Accounting,['MR 0330pm-0445pm 01/17-05/10'],Joan L.  Lee
Spring2023,37610,ACCT 1012,16,3.000,Introduction to Management Accounting,['TF 1100am-1215pm 01/17-05/10'],Dawn W  Massey
Spring2023,37611,ACCT 1012,18,3.000,Introduction to Management Accounting,['TF 0200pm-0315pm 01/17-05/10'],Dawn W  Massey
Spring2023,37612,ACCT 1012,19,3.000,Introduction to Management Accounting,['TF 0330pm-0445pm 01/17-05/10'],Dawn W  Massey
Spring2023,38495,ACCT 1012,20,3.000,Introduction to Management Accounting,['TF 0800am-0915am 01/17-05/10'],Han   Yan
Spring2023,38891,ACCT 1012,21,3.000,Introduction to Management Accounting,['TF 0930am-1045am 01/17-05/10'],Han   Yan
Spring2023,38892,ACCT 1012,22,3.000,Introduction to Management Accounting,['TF 1230pm-0145pm 01/17-05/10'],Han   Yan
Spring2023,37613,ACCT 2203,01,3.000,Intermediate Accounting I,['TF 0800am-0915am 01/17-05/10'],Arleen N.  Kardos
Spring2023,37614,ACCT 2204,01,3.000,Intermediate Accounting II,['W 1100am-0130pm 01/17-05/10'],Scott M  Brenner
Spring2023,37615,ACCT 2204,02,3.000,Intermediate Accounting II,['W 0200pm-0430pm 01/17-05/10'],Scott M  Brenner
Spring2023,37616,ACCT 2204,03,3.000,Intermediate Accounting II,['MR 0800am-0915am 01/17-05/10'],Arleen N.  Kardos
