term,crn,location,day,start,end
Summer2019,89088,DSB 2109A,M,2019-06-03T18:30:00,2019-06-03T22:00:00
Summer2019,89088,DSB 2109A,M,2019-06-10T18:30:00,2019-06-10T22:00:00
Summer2019,89088,DSB 2109A,M,2019-06-17T18:30:00,2019-06-17T22:00:00
Summer2019,89088,DSB 2109A,M,2019-06-24T18:30:00,2019-06-24T22:00:00
Summer2019,89088,DSB 2109A,M,2019-07-01T18:30:00,2019-07-01T22:00:00
Summer2019,89088,DSB 2109A,M,2019-07-08T18:30:00,2019-07-08T22:00:00
Summer2019,89088,DSB 2109A,M,2019-07-15T18:30:00,2019-07-15T22:00:00
Summer2019,89088,DSB 2109A,M,2019-07-22T18:30:00,2019-07-22T22:00:00
Summer2019,89088,DSB 2109A,M,2019-07-29T18:30:00,2019-07-29T22:00:00
Summer2019,89088,DSB 2109A,M,2019-08-05T18:30:00,2019-08-05T22:00:00
Summer2019,89088,DSB 2109A,M,2019-08-12T18:30:00,2019-08-12T22:00:00
Summer2019,89089,DSB 115,T,2019-06-04T18:30:00,2019-06-04T22:00:00
Summer2019,89089,DSB 115,T,2019-06-11T18:30:00,2019-06-11T22:00:00
Summer2019,89089,DSB 115,T,2019-06-18T18:30:00,2019-06-18T22:00:00
Summer2019,89089,DSB 115,T,2019-06-25T18:30:00,2019-06-25T22:00:00
Summer2019,89089,DSB 115,T,2019-07-02T18:30:00,2019-07-02T22:00:00
Summer2019,89089,DSB 115,T,2019-07-09T18:30:00,2019-07-09T22:00:00
Summer2019,89089,DSB 115,T,2019-07-16T18:30:00,2019-07-16T22:00:00
Summer2019,89089,DSB 115,T,2019-07-23T18:30:00,2019-07-23T22:00:00
Summer2019,89089,DSB 115,T,2019-07-30T18:30:00,2019-07-30T22:00:00
Summer2019,89089,DSB 115,T,2019-08-06T18:30:00,2019-08-06T22:00:00
Summer2019,89089,DSB 115,T,2019-08-13T18:30:00,2019-08-13T22:00:00
Summer2019,89067,DW G108,M,2019-05-20T16:30:00,2019-05-20T19:00:00
Summer2019,89067,DW G108,M,2019-06-03T16:30:00,2019-06-03T19:00:00
Summer2019,89067,DW G108,M,2019-06-10T16:30:00,2019-06-10T19:00:00
Summer2019,89067,DW G108,M,2019-06-17T16:30:00,2019-06-17T19:00:00
Summer2019,89067,DW G108,M,2019-06-24T16:30:00,2019-06-24T19:00:00
Summer2019,89067,DW G108,M,2019-07-01T16:30:00,2019-07-01T19:00:00
Summer2019,89067,DW G108,M,2019-07-08T16:30:00,2019-07-08T19:00:00
Summer2019,89067,DW G108,M,2019-07-15T16:30:00,2019-07-15T19:00:00
Summer2019,89067,DW G108,M,2019-07-22T16:30:00,2019-07-22T19:00:00
Summer2019,89067,DW G108,M,2019-07-29T16:30:00,2019-07-29T19:00:00
Summer2019,89067,DW G108,M,2019-08-05T16:30:00,2019-08-05T19:00:00
Summer2019,89068,DW G101,M,2019-05-20T16:30:00,2019-05-20T19:00:00
Summer2019,89068,DW G101,M,2019-06-03T16:30:00,2019-06-03T19:00:00
Summer2019,89068,DW G101,M,2019-06-10T16:30:00,2019-06-10T19:00:00
Summer2019,89068,DW G101,M,2019-06-17T16:30:00,2019-06-17T19:00:00
Summer2019,89068,DW G101,M,2019-06-24T16:30:00,2019-06-24T19:00:00
Summer2019,89068,DW G101,M,2019-07-01T16:30:00,2019-07-01T19:00:00
Summer2019,89068,DW G101,M,2019-07-08T16:30:00,2019-07-08T19:00:00
Summer2019,89068,DW G101,M,2019-07-15T16:30:00,2019-07-15T19:00:00
Summer2019,89068,DW G101,M,2019-07-22T16:30:00,2019-07-22T19:00:00
Summer2019,89068,DW G101,M,2019-07-29T16:30:00,2019-07-29T19:00:00
Summer2019,89068,DW G101,M,2019-08-05T16:30:00,2019-08-05T19:00:00
Summer2019,89003,DSB 104,T,2019-05-28T09:30:00,2019-05-28T12:30:00
Summer2019,89003,DSB 104,T,2019-06-04T09:30:00,2019-06-04T12:30:00
Summer2019,89003,DSB 104,T,2019-06-11T09:30:00,2019-06-11T12:30:00
Summer2019,89003,DSB 104,T,2019-06-18T09:30:00,2019-06-18T12:30:00
Summer2019,89003,DSB 104,T,2019-06-25T09:30:00,2019-06-25T12:30:00
Summer2019,89003,DSB 104,T,2019-07-02T09:30:00,2019-07-02T12:30:00
Summer2019,89003,DSB 104,T,2019-07-09T09:30:00,2019-07-09T12:30:00
Summer2019,89003,DSB 104,T,2019-07-16T09:30:00,2019-07-16T12:30:00
Summer2019,89003,DSB 104,T,2019-07-23T09:30:00,2019-07-23T12:30:00
Summer2019,89003,DSB 104,T,2019-07-30T09:30:00,2019-07-30T12:30:00
Summer2019,89003,DSB 104,R,2019-05-30T09:30:00,2019-05-30T12:30:00
Summer2019,89003,DSB 104,R,2019-06-06T09:30:00,2019-06-06T12:30:00
Summer2019,89004,DSB 104,T,2019-05-28T09:30:00,2019-05-28T12:30:00
Summer2019,89004,DSB 104,T,2019-06-04T09:30:00,2019-06-04T12:30:00
Summer2019,89004,DSB 104,T,2019-06-11T09:30:00,2019-06-11T12:30:00
Summer2019,89004,DSB 104,T,2019-06-18T09:30:00,2019-06-18T12:30:00
Summer2019,89004,DSB 104,T,2019-06-25T09:30:00,2019-06-25T12:30:00
Summer2019,89004,DSB 104,T,2019-07-02T09:30:00,2019-07-02T12:30:00
Summer2019,89004,DSB 104,T,2019-07-09T09:30:00,2019-07-09T12:30:00
Summer2019,89004,DSB 104,T,2019-07-16T09:30:00,2019-07-16T12:30:00
Summer2019,89004,DSB 104,T,2019-07-23T09:30:00,2019-07-23T12:30:00
Summer2019,89004,DSB 104,T,2019-07-30T09:30:00,2019-07-30T12:30:00
Summer2019,89004,DSB 104,R,2019-05-30T09:30:00,2019-05-30T12:30:00
Summer2019,89004,DSB 104,R,2019-06-06T09:30:00,2019-06-06T12:30:00
Summer2019,89005,DSB 104,W,2019-05-29T12:30:00,2019-05-29T15:30:00
Summer2019,89005,DSB 104,W,2019-06-05T12:30:00,2019-06-05T15:30:00
Summer2019,89005,DSB 104,F,2019-05-31T12:30:00,2019-05-31T15:30:00
Summer2019,89005,DSB 104,M,2019-06-03T12:30:00,2019-06-03T15:30:00
Summer2019,89005,DSB 104,M,2019-06-10T12:30:00,2019-06-10T15:30:00
Summer2019,89005,DSB 104,M,2019-06-17T12:30:00,2019-06-17T15:30:00
Summer2019,89005,DSB 104,M,2019-06-24T12:30:00,2019-06-24T15:30:00
Summer2019,89005,DSB 104,M,2019-07-01T12:30:00,2019-07-01T15:30:00
Summer2019,89005,DSB 104,M,2019-07-08T12:30:00,2019-07-08T15:30:00
Summer2019,89005,DSB 104,M,2019-07-15T12:30:00,2019-07-15T15:30:00
Summer2019,89005,DSB 104,M,2019-07-22T12:30:00,2019-07-22T15:30:00
Summer2019,89005,DSB 104,M,2019-07-29T12:30:00,2019-07-29T15:30:00
Summer2019,89006,DSB 104,W,2019-05-29T12:30:00,2019-05-29T15:30:00
Summer2019,89006,DSB 104,W,2019-06-05T12:30:00,2019-06-05T15:30:00
Summer2019,89006,DSB 104,F,2019-05-31T12:30:00,2019-05-31T15:30:00
Summer2019,89006,DSB 104,M,2019-06-03T12:30:00,2019-06-03T15:30:00
Summer2019,89006,DSB 104,M,2019-06-10T12:30:00,2019-06-10T15:30:00
Summer2019,89006,DSB 104,M,2019-06-17T12:30:00,2019-06-17T15:30:00
Summer2019,89006,DSB 104,M,2019-06-24T12:30:00,2019-06-24T15:30:00
Summer2019,89006,DSB 104,M,2019-07-01T12:30:00,2019-07-01T15:30:00
Summer2019,89006,DSB 104,M,2019-07-08T12:30:00,2019-07-08T15:30:00
Summer2019,89006,DSB 104,M,2019-07-15T12:30:00,2019-07-15T15:30:00
Summer2019,89006,DSB 104,M,2019-07-22T12:30:00,2019-07-22T15:30:00
