term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Summer2020,50109,AC 0203,OL1,3.000,Intermediate Accounting I,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/18-06/24', 'location': 'ONLINE '}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '05/28-05/28', 'location': 'ONLINE '}]","['MW 0600pm-0930pm 05/18-06/24 ONLINE ', 'R 0600pm-0930pm 05/28-05/28 ONLINE ', 'R 0600pm-0930pm 05/28-05/28 ONLINE ']",Scott M  Brenner,Scott M  Brenner (P),22,7,15
Summer2020,50110,AC 0204,OL1,3.000,Intermediate Accounting II,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '07/06-08/07', 'location': 'ONLINE '}]",['MW 0600pm-0930pm 07/06-08/07 ONLINE '],Scott M  Brenner,Scott M  Brenner (P),25,8,17
Summer2020,50336,AC 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,1,19
Summer2020,50337,AC 0392,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,1,19
Summer2020,50111,AC 0400,OL1,3.000,Introduction to Accounting,[],[],Michael P.  Coyne,Michael P.  Coyne (P),20,21,-1
Summer2020,50232,AC 0530,OL1,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'M', 'times': '0800am-1100am', 'dates': '05/18-05/18', 'location': 'ONLINE '}, {'days': 'F', 'times': '0800am-1100am', 'dates': '05/18-06/26', 'location': 'ONLINE '}, {'days': 'T', 'times': '0800am-1100am', 'dates': '06/02-06/26', 'location': 'ONLINE '}]","['M 0800am-1100am 05/18-05/18 ONLINE ', 'F 0800am-1100am 05/18-06/26 ONLINE ', 'F 0800am-1100am 05/18-06/26 ONLINE ', 'T 0800am-1100am 06/02-06/26 ONLINE ', 'T 0800am-1100am 06/02-06/26 ONLINE ']",Milo W.  Peck,Milo W.  Peck (P),24,25,-1
Summer2020,50233,AC 0530,OL2,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'M', 'times': '1130am-0230pm', 'dates': '05/18-05/18', 'location': 'ONLINE '}, {'days': 'F', 'times': '1130am-0230pm', 'dates': '05/18-06/26', 'location': 'ONLINE '}, {'days': 'T', 'times': '1130am-0230pm', 'dates': '06/02-06/26', 'location': 'ONLINE '}]","['M 1130am-0230pm 05/18-05/18 ONLINE ', 'F 1130am-0230pm 05/18-06/26 ONLINE ', 'F 1130am-0230pm 05/18-06/26 ONLINE ', 'T 1130am-0230pm 06/02-06/26 ONLINE ', 'T 1130am-0230pm 06/02-06/26 ONLINE ']",Milo W.  Peck,Milo W.  Peck (P),24,24,0
Summer2020,50234,AC 0530,OL3,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'M', 'times': '0300pm-0600pm', 'dates': '05/18-05/18', 'location': 'ONLINE '}, {'days': 'F', 'times': '0300pm-0600pm', 'dates': '05/18-06/26', 'location': 'ONLINE '}, {'days': 'T', 'times': '0300pm-0600pm', 'dates': '06/02-06/26', 'location': 'ONLINE '}]","['M 0300pm-0600pm 05/18-05/18 ONLINE ', 'F 0300pm-0600pm 05/18-06/26 ONLINE ', 'F 0300pm-0600pm 05/18-06/26 ONLINE ', 'T 0300pm-0600pm 06/02-06/26 ONLINE ', 'T 0300pm-0600pm 06/02-06/26 ONLINE ']",Milo W.  Peck,Milo W.  Peck (P),24,23,1
Summer2020,50235,AC 0580,OL1,3.000,Financial Statement Analysis,"[{'days': 'R', 'times': '0800am-1100am', 'dates': '05/18-06/26', 'location': 'ONLINE '}, {'days': 'T', 'times': '1230pm-0330pm', 'dates': '05/19-05/19', 'location': 'ONLINE '}, {'days': 'M', 'times': '0800am-1100am', 'dates': '06/01-06/29', 'location': 'ONLINE '}]","['R 0800am-1100am 05/18-06/26 ONLINE ', 'T 1230pm-0330pm 05/19-05/19 ONLINE ', 'T 1230pm-0330pm 05/19-05/19 ONLINE ', 'M 0800am-1100am 06/01-06/29 ONLINE ', 'M 0800am-1100am 06/01-06/29 ONLINE ']",Rebecca I.  Bloch,Rebecca I.  Bloch (P),24,25,-1
Summer2020,50236,AC 0580,OL2,3.000,Financial Statement Analysis,"[{'days': 'R', 'times': '1130am-0230pm', 'dates': '05/18-06/26', 'location': 'ONLINE '}, {'days': 'T', 'times': '1230pm-0330pm', 'dates': '05/19-05/19', 'location': 'ONLINE '}, {'days': 'M', 'times': '1130am-0230pm', 'dates': '06/01-06/29', 'location': 'ONLINE '}]","['R 1130am-0230pm 05/18-06/26 ONLINE ', 'T 1230pm-0330pm 05/19-05/19 ONLINE ', 'T 1230pm-0330pm 05/19-05/19 ONLINE ', 'M 1130am-0230pm 06/01-06/29 ONLINE ', 'M 1130am-0230pm 06/01-06/29 ONLINE ']",Rebecca I.  Bloch,Rebecca I.  Bloch (P),24,25,-1
