term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Summer2021,51069,ACCT 2203,01,3.000,Intermediate Accounting I,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/24-06/30', 'location': 'ONLINE '}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '06/03-06/03', 'location': 'ONLINE '}]","['MW 0600pm-0930pm 05/24-06/30 ONLINE ', 'R 0600pm-0930pm 06/03-06/03 ONLINE ', 'R 0600pm-0930pm 06/03-06/03 ONLINE ']",Scott M  Brenner,Scott M  Brenner (P),20,8,12
Summer2021,51070,ACCT 2204,01,3.000,Intermediate Accounting II,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '07/12-08/11', 'location': 'ONLINE '}]",['MW 0600pm-0930pm 07/12-08/11 ONLINE '],Scott M  Brenner,Scott M  Brenner (P),25,9,16
Summer2021,51304,ACCT 2980,01,1.000,Internship,[],[],Gregory N.  Konz,Gregory N.  Konz (P),30,2,28
Summer2021,51305,ACCT 3980,01,3.000,Internship,[],[],Gregory N.  Konz,Gregory N.  Konz (P),30,5,25
Summer2021,51071,ACCT 5400,01,3.000,Introduction to Accounting,[],[],Michael P.  Coyne,Michael P.  Coyne (P),28,29,-1
Summer2021,51223,ACCT 6530,01,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'W', 'times': '0800am-1100am', 'dates': '05/26-05/26', 'location': 'ONLINE '}, {'days': 'S', 'times': '0900am-1200pm', 'dates': '05/29-05/29', 'location': 'ONLINE '}, {'days': 'TF', 'times': '0800am-1100am', 'dates': '06/01-07/02', 'location': 'ONLINE '}]","['W 0800am-1100am 05/26-05/26 ONLINE ', 'S 0900am-1200pm 05/29-05/29 ONLINE ', 'S 0900am-1200pm 05/29-05/29 ONLINE ', 'TF 0800am-1100am 06/01-07/02 ONLINE ', 'TF 0800am-1100am 06/01-07/02 ONLINE ']",Milo W.  Peck,Milo W.  Peck (P),20,22,-2
Summer2021,51224,ACCT 6530,02,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'W', 'times': '1130am-0230pm', 'dates': '05/26-05/26', 'location': 'ONLINE '}, {'days': 'S', 'times': '0900am-1200pm', 'dates': '05/29-05/29', 'location': 'ONLINE '}, {'days': 'TF', 'times': '1130am-0230pm', 'dates': '06/01-07/02', 'location': 'ONLINE '}]","['W 1130am-0230pm 05/26-05/26 ONLINE ', 'S 0900am-1200pm 05/29-05/29 ONLINE ', 'S 0900am-1200pm 05/29-05/29 ONLINE ', 'TF 1130am-0230pm 06/01-07/02 ONLINE ', 'TF 1130am-0230pm 06/01-07/02 ONLINE ']",Milo W.  Peck,Milo W.  Peck (P),20,20,0
Summer2021,51225,ACCT 6530,03,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'W', 'times': '0300pm-0600pm', 'dates': '05/26-05/26', 'location': 'ONLINE '}, {'days': 'S', 'times': '0900am-1200pm', 'dates': '05/29-05/29', 'location': 'ONLINE '}, {'days': 'TF', 'times': '0300pm-0600pm', 'dates': '06/01-07/02', 'location': 'ONLINE '}]","['W 0300pm-0600pm 05/26-05/26 ONLINE ', 'S 0900am-1200pm 05/29-05/29 ONLINE ', 'S 0900am-1200pm 05/29-05/29 ONLINE ', 'TF 0300pm-0600pm 06/01-07/02 ONLINE ', 'TF 0300pm-0600pm 06/01-07/02 ONLINE ']",Milo W.  Peck,Milo W.  Peck (P),20,19,1
Summer2021,51226,ACCT 6580,01,3.000,Financial Statement Analysis,"[{'days': 'TF', 'times': '0830am-1130am', 'dates': '05/25-05/28', 'location': 'DSBN 201'}, {'days': 'MR', 'times': '0830am-1130am', 'dates': '06/01-07/02', 'location': 'DSBN 201'}]","['TF 0830am-1130am 05/25-05/28 DSBN 201', 'MR 0830am-1130am 06/01-07/02 DSBN 201', 'MR 0830am-1130am 06/01-07/02 DSBN 201']",Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),20,21,-1
Summer2021,51227,ACCT 6580,02,3.000,Financial Statement Analysis,"[{'days': 'TF', 'times': '1200pm-0300pm', 'dates': '05/25-05/28', 'location': 'DSBN 201'}, {'days': 'MR', 'times': '1200pm-0300pm', 'dates': '06/01-07/02', 'location': 'DSBN 201'}]","['TF 1200pm-0300pm 05/25-05/28 DSBN 201', 'MR 1200pm-0300pm 06/01-07/02 DSBN 201', 'MR 1200pm-0300pm 06/01-07/02 DSBN 201']",Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),23,22,1
Summer2021,51228,ACCT 6580,03,3.000,Financial Statement Analysis,"[{'days': 'TF', 'times': '0330pm-0630pm', 'dates': '05/25-05/28', 'location': 'DSBN 201'}, {'days': 'MR', 'times': '0330pm-0630pm', 'dates': '06/01-07/02', 'location': 'DSBN 201'}]","['TF 0330pm-0630pm 05/25-05/28 DSBN 201', 'MR 0330pm-0630pm 06/01-07/02 DSBN 201', 'MR 0330pm-0630pm 06/01-07/02 DSBN 201']",Kristen Ann  Tharrington,Kristen Ann  Tharrington (P),22,21,1
Summer2021,51419,AMST 5990,EH,3.000,Independent Study,[],[],Elizabeth   Hohl,Elizabeth   Hohl (P),0,1,-1
Summer2021,51395,AMST 5990,JG,3.000,Independent Study,[],[],Johanna   Garvey,Johanna   Garvey (P),1,1,0
Summer2021,51127,ANTH 1110,01,3.000,Cultural Anthropology,[],[],Sarah A.  Wessler,Sarah A.  Wessler (P),20,17,3
Summer2021,51128,ANTH 1200,01,3.000,Biological Anthropology,[],[],Kimberly   Raymond,Kimberly   Raymond (P),20,16,4
Summer2021,51066,AETH 2291,01,3.000,Business Ethics,[],[],James Abordo   Ong,James Abordo   Ong (P),20,11,9
Summer2021,51068,AETH 2293,01,3.000,Ethics of War and Peace,[],[],Norma   Schmidt,Norma   Schmidt (P),20,6,14
Summer2021,51130,AHST 1103,01,3.000,"Art of Africa, the Caribbean, and the Americas",[],[],Dawn M.  Pilotti,Dawn M.  Pilotti (P),20,8,12
Summer2021,51132,AHST 1172,01,3.000,History of Photography,[],[],Lauren Elise  Cesiro,Lauren Elise  Cesiro (P),20,12,8
Summer2021,51415,AHST 3980,01,3.000,Internship,[],[],Marice E.  Rose,Marice E.  Rose (P),3,1,2
Summer2021,51072,BIOL 1020,01,3.000,Bioinspiration: Innovation Inspired by Nature,[],[],Christine R.  Rodriguez,Christine R.  Rodriguez (P),20,19,1
Summer2021,51073,BIOL 1070,01,3.000,"Science, Technology, and Society",[],[],Debra S.  Sauer,Debra S.  Sauer (P),20,15,5
Summer2021,51074,BIOL 1071,01,3.000,Identity and the Human Genome,[],[],Olivia T.  Harriott,Olivia T.  Harriott (P),20,19,1
Summer2021,51075,BIOL 1076,01,3.000,Environmental Science,[],[],James E.  Biardi,James E.  Biardi (P),20,17,3
Summer2021,51076,BIOL 1078,01,3.000,Introduction to Marine Science,[],[],Shannon P.  Gerry,Shannon P.  Gerry (P),20,14,6
Summer2021,51420,BIOL 1088,01,3.000,Biomedical Science and Society,"[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '08/09-09/03', 'location': 'BNW 341'}]",['MTWRF 0900am-1100am 08/09-09/03 BNW 341'],Jillian E.  Smith-Carpenter,Jillian E.  Smith-Carpenter (P),15,12,3
Summer2021,51421,BIOL 1088,02,3.000,Biomedical Science and Society,"[{'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '08/09-09/03', 'location': 'BNW 340'}]",['MTWRF 0100pm-0300pm 08/09-09/03 BNW 340'],Jillian E.  Smith-Carpenter,Jillian E.  Smith-Carpenter (P),15,13,2
Summer2021,51077,BIOL 1107,01,4.000,Human Anatomy and Physiology I,"[{'days': 'MTWR', 'times': '0800am-1000am', 'dates': '05/24-06/24', 'location': 'ONLINE '}, {'days': 'F', 'times': '0800am-1000am', 'dates': '06/25-06/25', 'location': 'ONLINE '}]","['MTWR 0800am-1000am 05/24-06/24 ONLINE ', 'F 0800am-1000am 06/25-06/25 ONLINE ', 'F 0800am-1000am 06/25-06/25 ONLINE ']",Anthony J.  DeCristofaro,Anthony J.  DeCristofaro (P),16,16,0
Summer2021,51078,BIOL 1107L,01,0.000,Human Anatomy and Physiology I Lab,"[{'days': 'TR', 'times': '1005am-1255pm', 'dates': '05/25-06/24', 'location': 'ONLINE '}]",['TR 1005am-1255pm 05/25-06/24 ONLINE '],Anthony J.  DeCristofaro,Anthony J.  DeCristofaro (P),16,16,0
Summer2021,51079,BIOL 1108,01,4.000,Human Anatomy and Physiology II,"[{'days': 'MTWR', 'times': '0800am-1000am', 'dates': '07/12-08/12', 'location': 'NHS 411'}]",['MTWR 0800am-1000am 07/12-08/12 NHS 411'],Anthony J.  DeCristofaro,Anthony J.  DeCristofaro (P),16,11,5
Summer2021,51080,BIOL 1108L,01,0.000,Human Anatomy and Physiology II Lab,"[{'days': 'TR', 'times': '1005am-1255pm', 'dates': '07/13-08/12', 'location': 'BNW 240'}]",['TR 1005am-1255pm 07/13-08/12 BNW 240'],Anthony J.  DeCristofaro,Anthony J.  DeCristofaro (P),16,11,5
Summer2021,51082,BIOL 1171L,01,0.000,General Biology I Lab,"[{'days': 'MW', 'times': '0100pm-0400pm', 'dates': '05/24-06/23', 'location': 'BNW 261'}]",['MW 0100pm-0400pm 05/24-06/23 BNW 261'],Geoffrey A.  Church,Geoffrey A.  Church (P),16,7,9
Summer2021,51338,BIOL 1171S,01,4.000,General Biology I,"[{'days': 'MTWR', 'times': '1030am-1230pm', 'dates': '05/24-06/24', 'location': 'NHS 210'}, {'days': 'F', 'times': '1030am-1230pm', 'dates': '06/25-06/25', 'location': 'NHS 210'}]","['MTWR 1030am-1230pm 05/24-06/24 NHS 210', 'F 1030am-1230pm 06/25-06/25 NHS 210', 'F 1030am-1230pm 06/25-06/25 NHS 210']",Geoffrey A.  Church,Geoffrey A.  Church (P),16,7,9
Summer2021,51392,BIOL 4990,BW,3.000,Independent Study,[],[],Brian G.  Walker,Brian G.  Walker (P),1,1,0
Summer2021,51308,BUSN 2980,01,1.000,Internship,[],[],Gregory N.  Konz,Gregory N.  Konz (P),30,1,29
Summer2021,51100,BUSN 3211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '1000am-1200pm', 'dates': '05/24-06/04', 'location': 'ONLINE '}, {'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '05/24-06/04', 'location': 'ONLINE '}]","['MTWRF 1000am-1200pm 05/24-06/04 ONLINE ', 'MTWRF 0100pm-0300pm 05/24-06/04 ONLINE ', 'MTWRF 0100pm-0300pm 05/24-06/04 ONLINE ']",Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),15,6,9
Summer2021,51309,BUSN 3980,01,3.000,Internship,[],[],Gregory N.  Konz,Gregory N.  Konz (P),30,0,30
Summer2021,51320,BUSN 6980,01,3.000,Business Immersion Practicum,[],[],Mousumi   Bose Godbole,"Mousumi   Bose Godbole (P), Philip   Maymin ",10,1,9
Summer2021,51328,BUSN 6980,02,1.000,Business Immersion Practicum,[],[],Katsiaryna Salavei  Bardos,"Katsiaryna Salavei  Bardos (P), Mousumi   Bose Godbole ",10,2,8
Summer2021,51306,BUAN 2980,01,1.000,Internship,[],[],Gregory N.  Konz,Gregory N.  Konz (P),30,0,30
Summer2021,51307,BUAN 3980,01,3.000,Internship,[],[],Gregory N.  Konz,Gregory N.  Konz (P),30,0,30
Summer2021,51185,BUAN 5400,01,3.000,Applied Business Statistics,[],[],Xin Xin   He,Xin Xin   He (P),20,19,1
Summer2021,51186,BUAN 5405,01,3.000,Python Fundamentals,[],[],Christopher L.  Huntley,Christopher L.  Huntley (P),25,13,12
Summer2021,51413,BUAN 5405,02,3.000,Python Fundamentals,[],[],Christopher L.  Huntley,Christopher L.  Huntley (P),20,18,2
Summer2021,51187,BUAN 6999,01,3.000,Capstone: Business Analytics Applications,[],[],Philip   Maymin,"Philip   Maymin (P), Xin Xin   He , Christopher L.  Huntley , Patrick S.  Lee , Lin   Lu , Yasin   Ozcelik , Jie   Tao , Vishnu V.  Vinekar ",20,13,7
Summer2021,51287,CHEM 1171,01,3.000,General Chemistry I,"[{'days': 'MTWRF', 'times': '0800am-1000am', 'dates': '05/24-06/25', 'location': 'ONLINE '}]",['MTWRF 0800am-1000am 05/24-06/25 ONLINE '],Jon J.  Harper,Jon J.  Harper (P),16,12,4
Summer2021,51288,CHEM 1171L,01,1.000,General Chemistry I Lab,"[{'days': 'TWR', 'times': '1030am-0130pm', 'dates': '05/25-06/24', 'location': 'ONLINE '}]",['TWR 1030am-0130pm 05/25-06/24 ONLINE '],Jon J.  Harper,Jon J.  Harper (P),16,12,4
Summer2021,51289,CHEM 1172,01,3.000,General Chemistry II,"[{'days': 'MTWRF', 'times': '0800am-1000am', 'dates': '07/12-08/13', 'location': 'ONLINE '}]",['MTWRF 0800am-1000am 07/12-08/13 ONLINE '],Jon J.  Harper,Jon J.  Harper (P),16,8,8
Summer2021,51290,CHEM 1172L,01,1.000,General Chemistry II Lab,"[{'days': 'TWR', 'times': '1030am-0130pm', 'dates': '07/13-08/12', 'location': 'ONLINE '}]",['TWR 1030am-0130pm 07/13-08/12 ONLINE '],Jon J.  Harper,Jon J.  Harper (P),16,8,8
Summer2021,51291,CHEM 2271,01,3.000,Organic Chemistry I,"[{'days': 'MTWRF', 'times': '0800am-1000am', 'dates': '05/24-06/25', 'location': 'ONLINE '}]",['MTWRF 0800am-1000am 05/24-06/25 ONLINE '],Donald J.  Wolanin,Donald J.  Wolanin (P),16,14,2
