term,crn,location,day,start,end
SummerI2019,59053,DSB 110B,T,2019-05-21T12:30:00,2019-05-21T15:30:00
SummerI2019,59053,DSB 108,R,2019-05-23T08:00:00,2019-05-23T11:00:00
SummerI2019,59053,DSB 108,R,2019-05-30T08:00:00,2019-05-30T11:00:00
SummerI2019,59053,DSB 108,T,2019-05-28T08:00:00,2019-05-28T11:00:00
SummerI2019,59053,DSB 108,T,2019-06-04T08:00:00,2019-06-04T11:00:00
SummerI2019,59053,DSB 108,F,2019-06-07T08:00:00,2019-06-07T11:00:00
SummerI2019,59053,DSB 108,T,2019-06-11T08:00:00,2019-06-11T11:00:00
SummerI2019,59053,DSB 108,F,2019-06-14T08:00:00,2019-06-14T11:00:00
SummerI2019,59053,DSB 108,T,2019-06-18T08:00:00,2019-06-18T11:00:00
SummerI2019,59053,DSB 108,F,2019-06-21T08:00:00,2019-06-21T11:00:00
SummerI2019,59053,DSB 108,T,2019-06-25T08:00:00,2019-06-25T11:00:00
SummerI2019,59053,DSB 108,F,2019-06-28T08:00:00,2019-06-28T11:00:00
SummerI2019,59053,DSB 110B,W,2019-06-05T09:00:00,2019-06-05T12:15:00
SummerI2019,59053,DSB 108,W,2019-06-26T08:00:00,2019-06-26T11:00:00
SummerI2019,59054,DSB 110B,T,2019-05-21T12:30:00,2019-05-21T15:30:00
SummerI2019,59054,DSB 108,R,2019-05-23T11:30:00,2019-05-23T14:30:00
SummerI2019,59054,DSB 108,R,2019-05-30T11:30:00,2019-05-30T14:30:00
SummerI2019,59054,DSB 108,T,2019-05-28T11:30:00,2019-05-28T14:30:00
SummerI2019,59054,DSB 108,T,2019-06-04T11:30:00,2019-06-04T14:30:00
SummerI2019,59054,DSB 108,F,2019-06-07T11:30:00,2019-06-07T14:30:00
SummerI2019,59054,DSB 108,T,2019-06-11T11:30:00,2019-06-11T14:30:00
SummerI2019,59054,DSB 108,F,2019-06-14T11:30:00,2019-06-14T14:30:00
SummerI2019,59054,DSB 108,T,2019-06-18T11:30:00,2019-06-18T14:30:00
SummerI2019,59054,DSB 108,F,2019-06-21T11:30:00,2019-06-21T14:30:00
SummerI2019,59054,DSB 108,T,2019-06-25T11:30:00,2019-06-25T14:30:00
SummerI2019,59054,DSB 108,F,2019-06-28T11:30:00,2019-06-28T14:30:00
SummerI2019,59054,DSB 110B,W,2019-06-05T09:00:00,2019-06-05T12:15:00
SummerI2019,59054,DSB 108,W,2019-06-26T11:30:00,2019-06-26T14:30:00
SummerI2019,59055,DSB 110B,T,2019-05-21T12:30:00,2019-05-21T15:30:00
SummerI2019,59055,DSB 108,R,2019-05-23T15:00:00,2019-05-23T18:00:00
SummerI2019,59055,DSB 108,R,2019-05-30T15:00:00,2019-05-30T18:00:00
SummerI2019,59055,DSB 108,T,2019-05-28T15:00:00,2019-05-28T18:00:00
SummerI2019,59055,DSB 108,T,2019-06-04T15:00:00,2019-06-04T18:00:00
SummerI2019,59055,DSB 108,F,2019-06-07T15:00:00,2019-06-07T18:00:00
SummerI2019,59055,DSB 108,T,2019-06-11T15:00:00,2019-06-11T18:00:00
SummerI2019,59055,DSB 108,F,2019-06-14T15:00:00,2019-06-14T18:00:00
SummerI2019,59055,DSB 108,T,2019-06-18T15:00:00,2019-06-18T18:00:00
SummerI2019,59055,DSB 108,F,2019-06-21T15:00:00,2019-06-21T18:00:00
SummerI2019,59055,DSB 108,T,2019-06-25T15:00:00,2019-06-25T18:00:00
SummerI2019,59055,DSB 108,F,2019-06-28T15:00:00,2019-06-28T18:00:00
SummerI2019,59055,DSB 110B,W,2019-06-05T09:00:00,2019-06-05T12:15:00
SummerI2019,59055,DSB 108,W,2019-06-26T15:00:00,2019-06-26T18:00:00
SummerI2019,59114,DSB 107,W,2019-05-22T18:30:00,2019-05-22T22:00:00
SummerI2019,59114,DSB 107,W,2019-05-29T18:30:00,2019-05-29T22:00:00
SummerI2019,59114,DSB 107,S,2019-06-01T08:00:00,2019-06-01T11:30:00
SummerI2019,59114,DSB 107,S,2019-06-08T08:00:00,2019-06-08T11:30:00
SummerI2019,59114,DSB 107,S,2019-06-15T08:00:00,2019-06-15T11:30:00
SummerI2019,59114,DSB 107,S,2019-06-22T08:00:00,2019-06-22T11:30:00
SummerI2019,59114,DSB 107,S,2019-06-29T08:00:00,2019-06-29T11:30:00
SummerI2019,59114,DSB 107,M,2019-06-03T18:30:00,2019-06-03T22:00:00
SummerI2019,59114,DSB 107,M,2019-06-10T18:30:00,2019-06-10T22:00:00
SummerI2019,59114,DSB 107,M,2019-06-17T18:30:00,2019-06-17T22:00:00
SummerI2019,59114,DSB 107,M,2019-06-24T18:30:00,2019-06-24T22:00:00
SummerI2019,59115,DSB 107,W,2019-05-22T18:30:00,2019-05-22T22:00:00
SummerI2019,59115,DSB 107,W,2019-05-29T18:30:00,2019-05-29T22:00:00
SummerI2019,59115,DSB 107,S,2019-06-01T08:00:00,2019-06-01T11:30:00
SummerI2019,59115,DSB 107,S,2019-06-08T08:00:00,2019-06-08T11:30:00
SummerI2019,59115,DSB 107,S,2019-06-15T08:00:00,2019-06-15T11:30:00
SummerI2019,59115,DSB 107,S,2019-06-22T08:00:00,2019-06-22T11:30:00
SummerI2019,59115,DSB 107,S,2019-06-29T08:00:00,2019-06-29T11:30:00
SummerI2019,59115,DSB 107,W,2019-06-05T18:30:00,2019-06-05T22:00:00
SummerI2019,59115,DSB 107,W,2019-06-12T18:30:00,2019-06-12T22:00:00
SummerI2019,59115,DSB 107,W,2019-06-19T18:30:00,2019-06-19T22:00:00
SummerI2019,59115,DSB 107,W,2019-06-26T18:30:00,2019-06-26T22:00:00
SummerI2019,59056,DSB 110B,W,2019-05-22T11:30:00,2019-05-22T14:30:00
SummerI2019,59056,DSB 115,F,2019-05-24T08:00:00,2019-05-24T11:00:00
SummerI2019,59056,DSB 115,W,2019-05-29T08:00:00,2019-05-29T11:00:00
SummerI2019,59056,DSB 115,F,2019-05-31T08:00:00,2019-05-31T11:00:00
SummerI2019,59056,DSB 115,M,2019-06-03T08:00:00,2019-06-03T11:00:00
SummerI2019,59056,DSB 115,R,2019-06-06T08:00:00,2019-06-06T11:00:00
SummerI2019,59056,DSB 115,M,2019-06-10T08:00:00,2019-06-10T11:00:00
