term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
SummerI2019,59053,AC 0530,01,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'T', 'times': '1230pm-0330pm', 'dates': '05/21-05/21', 'location': 'DSB 110B'}, {'days': 'R', 'times': '0800am-1100am', 'dates': '05/23-05/30', 'location': 'DSB 108'}, {'days': 'T', 'times': '0800am-1100am', 'dates': '05/28-05/28', 'location': 'DSB 108'}, {'days': 'TF', 'times': '0800am-1100am', 'dates': '06/04-06/28', 'location': 'DSB 108'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/05-06/05', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0800am-1100am', 'dates': '06/26-06/26', 'location': 'DSB 108'}]","['T 1230pm-0330pm 05/21-05/21 DSB 110B', 'R 0800am-1100am 05/23-05/30 DSB 108', 'R 0800am-1100am 05/23-05/30 DSB 108', 'T 0800am-1100am 05/28-05/28 DSB 108', 'T 0800am-1100am 05/28-05/28 DSB 108', 'TF 0800am-1100am 06/04-06/28 DSB 108', 'TF 0800am-1100am 06/04-06/28 DSB 108', 'W 0900am-1215pm 06/05-06/05 DSB 110B', 'W 0900am-1215pm 06/05-06/05 DSB 110B', 'W 0800am-1100am 06/26-06/26 DSB 108', 'W 0800am-1100am 06/26-06/26 DSB 108']",Milo W.  Peck,Milo W.  Peck (P),20,20,0
SummerI2019,59054,AC 0530,02,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'T', 'times': '1230pm-0330pm', 'dates': '05/21-05/21', 'location': 'DSB 110B'}, {'days': 'R', 'times': '1130am-0230pm', 'dates': '05/23-05/30', 'location': 'DSB 108'}, {'days': 'T', 'times': '1130am-0230pm', 'dates': '05/28-05/28', 'location': 'DSB 108'}, {'days': 'TF', 'times': '1130am-0230pm', 'dates': '06/04-06/28', 'location': 'DSB 108'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/05-06/05', 'location': 'DSB 110B'}, {'days': 'W', 'times': '1130am-0230pm', 'dates': '06/26-06/26', 'location': 'DSB 108'}]","['T 1230pm-0330pm 05/21-05/21 DSB 110B', 'R 1130am-0230pm 05/23-05/30 DSB 108', 'R 1130am-0230pm 05/23-05/30 DSB 108', 'T 1130am-0230pm 05/28-05/28 DSB 108', 'T 1130am-0230pm 05/28-05/28 DSB 108', 'TF 1130am-0230pm 06/04-06/28 DSB 108', 'TF 1130am-0230pm 06/04-06/28 DSB 108', 'W 0900am-1215pm 06/05-06/05 DSB 110B', 'W 0900am-1215pm 06/05-06/05 DSB 110B', 'W 1130am-0230pm 06/26-06/26 DSB 108', 'W 1130am-0230pm 06/26-06/26 DSB 108']",Milo W.  Peck,Milo W.  Peck (P),20,19,1
SummerI2019,59055,AC 0530,03,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'T', 'times': '1230pm-0330pm', 'dates': '05/21-05/21', 'location': 'DSB 110B'}, {'days': 'R', 'times': '0300pm-0600pm', 'dates': '05/23-05/30', 'location': 'DSB 108'}, {'days': 'T', 'times': '0300pm-0600pm', 'dates': '05/28-05/28', 'location': 'DSB 108'}, {'days': 'TF', 'times': '0300pm-0600pm', 'dates': '06/04-06/28', 'location': 'DSB 108'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/05-06/05', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0300pm-0600pm', 'dates': '06/26-06/26', 'location': 'DSB 108'}]","['T 1230pm-0330pm 05/21-05/21 DSB 110B', 'R 0300pm-0600pm 05/23-05/30 DSB 108', 'R 0300pm-0600pm 05/23-05/30 DSB 108', 'T 0300pm-0600pm 05/28-05/28 DSB 108', 'T 0300pm-0600pm 05/28-05/28 DSB 108', 'TF 0300pm-0600pm 06/04-06/28 DSB 108', 'TF 0300pm-0600pm 06/04-06/28 DSB 108', 'W 0900am-1215pm 06/05-06/05 DSB 110B', 'W 0900am-1215pm 06/05-06/05 DSB 110B', 'W 0300pm-0600pm 06/26-06/26 DSB 108', 'W 0300pm-0600pm 06/26-06/26 DSB 108']",Milo W.  Peck,Milo W.  Peck (P),20,11,9
SummerI2019,59114,AC 0550,01,3.000,Accounting Information Systems and Technology,"[{'days': 'W', 'times': '0630pm-1000pm', 'dates': '05/22-05/29', 'location': 'DSB 107'}, {'days': 'S', 'times': '0800am-1130am', 'dates': '06/01-06/29', 'location': 'DSB 107'}, {'days': 'M', 'times': '0630pm-1000pm', 'dates': '06/03-06/24', 'location': 'DSB 107'}]","['W 0630pm-1000pm 05/22-05/29 DSB 107', 'S 0800am-1130am 06/01-06/29 DSB 107', 'S 0800am-1130am 06/01-06/29 DSB 107', 'M 0630pm-1000pm 06/03-06/24 DSB 107', 'M 0630pm-1000pm 06/03-06/24 DSB 107']",Bruce   Bradford,Bruce   Bradford (P),20,13,7
SummerI2019,59115,AC 0550,02,3.000,Accounting Information Systems and Technology,"[{'days': 'W', 'times': '0630pm-1000pm', 'dates': '05/22-05/29', 'location': 'DSB 107'}, {'days': 'S', 'times': '0800am-1130am', 'dates': '06/01-06/29', 'location': 'DSB 107'}, {'days': 'W', 'times': '0630pm-1000pm', 'dates': '06/05-06/26', 'location': 'DSB 107'}]","['W 0630pm-1000pm 05/22-05/29 DSB 107', 'S 0800am-1130am 06/01-06/29 DSB 107', 'S 0800am-1130am 06/01-06/29 DSB 107', 'W 0630pm-1000pm 06/05-06/26 DSB 107', 'W 0630pm-1000pm 06/05-06/26 DSB 107']",Bruce   Bradford,Bruce   Bradford (P),20,11,9
SummerI2019,59056,AC 0580,01,3.000,Financial Statement Analysis,"[{'days': 'W', 'times': '1130am-0230pm', 'dates': '05/22-05/22', 'location': 'DSB 110B'}, {'days': 'WF', 'times': '0800am-1100am', 'dates': '05/24-05/31', 'location': 'DSB 115'}, {'days': 'MR', 'times': '0800am-1100am', 'dates': '06/01-06/27', 'location': 'DSB 115'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/12-06/12', 'location': 'DSB 110B'}, {'days': 'M', 'times': '1130am-0230pm', 'dates': '07/01-07/01', 'location': 'DSB 110B'}]","['W 1130am-0230pm 05/22-05/22 DSB 110B', 'WF 0800am-1100am 05/24-05/31 DSB 115', 'WF 0800am-1100am 05/24-05/31 DSB 115', 'MR 0800am-1100am 06/01-06/27 DSB 115', 'MR 0800am-1100am 06/01-06/27 DSB 115', 'W 0900am-1215pm 06/12-06/12 DSB 110B', 'W 0900am-1215pm 06/12-06/12 DSB 110B', 'M 1130am-0230pm 07/01-07/01 DSB 110B', 'M 1130am-0230pm 07/01-07/01 DSB 110B']",Rebecca I.  Bloch,Rebecca I.  Bloch (P),20,16,4
SummerI2019,59057,AC 0580,02,3.000,Financial Statement Analysis,"[{'days': 'W', 'times': '1130am-0230pm', 'dates': '05/22-05/22', 'location': 'DSB 110B'}, {'days': 'WF', 'times': '1130am-0230pm', 'dates': '05/24-05/31', 'location': 'DSB 115'}, {'days': 'MR', 'times': '1130am-0230pm', 'dates': '06/01-06/27', 'location': 'DSB 115'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/12-06/12', 'location': 'DSB 110B'}, {'days': 'M', 'times': '1130am-0230pm', 'dates': '07/01-07/01', 'location': 'DSB 110B'}]","['W 1130am-0230pm 05/22-05/22 DSB 110B', 'WF 1130am-0230pm 05/24-05/31 DSB 115', 'WF 1130am-0230pm 05/24-05/31 DSB 115', 'MR 1130am-0230pm 06/01-06/27 DSB 115', 'MR 1130am-0230pm 06/01-06/27 DSB 115', 'W 0900am-1215pm 06/12-06/12 DSB 110B', 'W 0900am-1215pm 06/12-06/12 DSB 110B', 'M 1130am-0230pm 07/01-07/01 DSB 110B', 'M 1130am-0230pm 07/01-07/01 DSB 110B']",Rebecca I.  Bloch,Rebecca I.  Bloch (P),20,19,1
SummerI2019,59058,AC 0580,03,3.000,Financial Statement Analysis,"[{'days': 'W', 'times': '1130am-0230pm', 'dates': '05/22-05/22', 'location': 'DSB 110B'}, {'days': 'WF', 'times': '0300pm-0600pm', 'dates': '05/24-05/31', 'location': 'DSB 115'}, {'days': 'MR', 'times': '0300pm-0600pm', 'dates': '06/01-06/27', 'location': 'DSB 115'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/12-06/12', 'location': 'DSB 110B'}, {'days': 'M', 'times': '1130am-0230pm', 'dates': '07/01-07/01', 'location': 'DSB 110B'}]","['W 1130am-0230pm 05/22-05/22 DSB 110B', 'WF 0300pm-0600pm 05/24-05/31 DSB 115', 'WF 0300pm-0600pm 05/24-05/31 DSB 115', 'MR 0300pm-0600pm 06/01-06/27 DSB 115', 'MR 0300pm-0600pm 06/01-06/27 DSB 115', 'W 0900am-1215pm 06/12-06/12 DSB 110B', 'W 0900am-1215pm 06/12-06/12 DSB 110B', 'M 1130am-0230pm 07/01-07/01 DSB 110B', 'M 1130am-0230pm 07/01-07/01 DSB 110B']",Rebecca I.  Bloch,Rebecca I.  Bloch (P),20,14,6
SummerI2019,59119,ASAH 0444,01,3.000,American Master Artists and Their Times,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '06/24-06/28', 'location': 'BLM LL105'}]",['MTWRF 0830am-0430pm 06/24-06/28 BLM LL105'],Philip I.  Eliasoph,Philip I.  Eliasoph (P),15,7,8
SummerI2019,59013,AY 0111,OL1,3.000,Cultural Anthropology,[],[],Alfred   Babo,Alfred   Babo (P),20,12,8
