term,crn,location,day,start,end
SummerII2019,79008,DSB 104,M,2019-07-01T18:00:00,2019-07-01T21:45:00
SummerII2019,79008,DSB 104,M,2019-07-08T18:00:00,2019-07-08T21:45:00
SummerII2019,79008,DSB 104,W,2019-07-10T18:00:00,2019-07-10T21:45:00
SummerII2019,79008,DSB 104,M,2019-07-15T18:00:00,2019-07-15T21:45:00
SummerII2019,79008,DSB 104,W,2019-07-17T18:00:00,2019-07-17T21:45:00
SummerII2019,79008,DSB 104,M,2019-07-22T18:00:00,2019-07-22T21:45:00
SummerII2019,79008,DSB 104,W,2019-07-24T18:00:00,2019-07-24T21:45:00
SummerII2019,79008,DSB 104,M,2019-07-29T18:00:00,2019-07-29T21:45:00
SummerII2019,79008,DSB 104,W,2019-07-31T18:00:00,2019-07-31T21:45:00
SummerII2019,79008,DSB 104,T,2019-07-30T18:00:00,2019-07-30T21:45:00
SummerII2019,79039,ONLINE ,W,2019-07-24T18:30:00,2019-07-24T21:30:00
SummerII2019,79039,ONLINE ,T,2019-07-30T18:30:00,2019-07-30T21:30:00
SummerII2019,79085,MCA 102,T,2019-07-09T17:00:00,2019-07-09T21:00:00
SummerII2019,79085,MCA 102,W,2019-07-10T17:00:00,2019-07-10T21:00:00
SummerII2019,79085,MCA 102,R,2019-07-11T17:00:00,2019-07-11T21:00:00
SummerII2019,79085,MCA 102,T,2019-07-16T17:00:00,2019-07-16T21:00:00
SummerII2019,79085,MCA 102,W,2019-07-17T17:00:00,2019-07-17T21:00:00
SummerII2019,79085,MCA 102,R,2019-07-18T17:00:00,2019-07-18T21:00:00
SummerII2019,79085,MCA 102,T,2019-07-23T17:00:00,2019-07-23T21:00:00
SummerII2019,79085,MCA 102,S,2019-07-13T09:30:00,2019-07-13T13:30:00
SummerII2019,79085,MCA 102,S,2019-07-20T09:30:00,2019-07-20T13:30:00
SummerII2019,79013,NHS 411,M,2019-07-08T09:30:00,2019-07-08T12:30:00
SummerII2019,79013,NHS 411,T,2019-07-09T09:30:00,2019-07-09T12:30:00
SummerII2019,79013,NHS 411,W,2019-07-10T09:30:00,2019-07-10T12:30:00
SummerII2019,79013,NHS 411,R,2019-07-11T09:30:00,2019-07-11T12:30:00
SummerII2019,79013,NHS 411,F,2019-07-12T09:30:00,2019-07-12T12:30:00
SummerII2019,79013,NHS 411,M,2019-07-15T09:30:00,2019-07-15T12:30:00
SummerII2019,79013,NHS 411,T,2019-07-16T09:30:00,2019-07-16T12:30:00
SummerII2019,79013,NHS 411,W,2019-07-17T09:30:00,2019-07-17T12:30:00
SummerII2019,79013,NHS 411,R,2019-07-18T09:30:00,2019-07-18T12:30:00
SummerII2019,79013,NHS 411,F,2019-07-19T09:30:00,2019-07-19T12:30:00
SummerII2019,79014,NHS 411,M,2019-07-08T09:30:00,2019-07-08T12:30:00
SummerII2019,79014,NHS 411,T,2019-07-09T09:30:00,2019-07-09T12:30:00
SummerII2019,79014,NHS 411,W,2019-07-10T09:30:00,2019-07-10T12:30:00
SummerII2019,79014,NHS 411,R,2019-07-11T09:30:00,2019-07-11T12:30:00
SummerII2019,79014,NHS 411,F,2019-07-12T09:30:00,2019-07-12T12:30:00
SummerII2019,79014,NHS 411,M,2019-07-15T09:30:00,2019-07-15T12:30:00
SummerII2019,79014,NHS 411,T,2019-07-16T09:30:00,2019-07-16T12:30:00
SummerII2019,79014,NHS 411,W,2019-07-17T09:30:00,2019-07-17T12:30:00
SummerII2019,79014,NHS 411,R,2019-07-18T09:30:00,2019-07-18T12:30:00
SummerII2019,79014,NHS 411,F,2019-07-19T09:30:00,2019-07-19T12:30:00
SummerII2019,79089,NHS 210,M,2019-08-05T09:00:00,2019-08-05T11:00:00
SummerII2019,79089,NHS 210,T,2019-08-06T09:00:00,2019-08-06T11:00:00
SummerII2019,79089,NHS 210,W,2019-08-07T09:00:00,2019-08-07T11:00:00
SummerII2019,79089,NHS 210,R,2019-08-08T09:00:00,2019-08-08T11:00:00
SummerII2019,79089,NHS 210,F,2019-08-09T09:00:00,2019-08-09T11:00:00
SummerII2019,79089,NHS 210,M,2019-08-12T09:00:00,2019-08-12T11:00:00
SummerII2019,79089,NHS 210,T,2019-08-13T09:00:00,2019-08-13T11:00:00
SummerII2019,79089,NHS 210,W,2019-08-14T09:00:00,2019-08-14T11:00:00
SummerII2019,79089,NHS 210,R,2019-08-15T09:00:00,2019-08-15T11:00:00
SummerII2019,79089,NHS 210,F,2019-08-16T09:00:00,2019-08-16T11:00:00
SummerII2019,79089,NHS 210,M,2019-08-19T09:00:00,2019-08-19T11:00:00
SummerII2019,79089,NHS 210,T,2019-08-20T09:00:00,2019-08-20T11:00:00
SummerII2019,79089,NHS 210,W,2019-08-21T09:00:00,2019-08-21T11:00:00
SummerII2019,79089,NHS 210,R,2019-08-22T09:00:00,2019-08-22T11:00:00
SummerII2019,79089,NHS 210,F,2019-08-23T09:00:00,2019-08-23T11:00:00
SummerII2019,79089,NHS 210,M,2019-08-26T09:00:00,2019-08-26T11:00:00
SummerII2019,79089,NHS 210,T,2019-08-27T09:00:00,2019-08-27T11:00:00
SummerII2019,79089,NHS 210,W,2019-08-28T09:00:00,2019-08-28T11:00:00
SummerII2019,79089,NHS 210,R,2019-08-29T09:00:00,2019-08-29T11:00:00
SummerII2019,79089,NHS 210,F,2019-08-30T09:00:00,2019-08-30T11:00:00
SummerII2019,79090,NHS 210,M,2019-08-05T13:00:00,2019-08-05T15:00:00
SummerII2019,79090,NHS 210,T,2019-08-06T13:00:00,2019-08-06T15:00:00
SummerII2019,79090,NHS 210,W,2019-08-07T13:00:00,2019-08-07T15:00:00
SummerII2019,79090,NHS 210,R,2019-08-08T13:00:00,2019-08-08T15:00:00
SummerII2019,79090,NHS 210,F,2019-08-09T13:00:00,2019-08-09T15:00:00
SummerII2019,79090,NHS 210,M,2019-08-12T13:00:00,2019-08-12T15:00:00
SummerII2019,79090,NHS 210,T,2019-08-13T13:00:00,2019-08-13T15:00:00
SummerII2019,79090,NHS 210,W,2019-08-14T13:00:00,2019-08-14T15:00:00
SummerII2019,79090,NHS 210,R,2019-08-15T13:00:00,2019-08-15T15:00:00
SummerII2019,79090,NHS 210,F,2019-08-16T13:00:00,2019-08-16T15:00:00
SummerII2019,79090,NHS 210,M,2019-08-19T13:00:00,2019-08-19T15:00:00
SummerII2019,79090,NHS 210,T,2019-08-20T13:00:00,2019-08-20T15:00:00
SummerII2019,79090,NHS 210,W,2019-08-21T13:00:00,2019-08-21T15:00:00
SummerII2019,79090,NHS 210,R,2019-08-22T13:00:00,2019-08-22T15:00:00
SummerII2019,79090,NHS 210,F,2019-08-23T13:00:00,2019-08-23T15:00:00
SummerII2019,79090,NHS 210,M,2019-08-26T13:00:00,2019-08-26T15:00:00
SummerII2019,79090,NHS 210,T,2019-08-27T13:00:00,2019-08-27T15:00:00
SummerII2019,79090,NHS 210,W,2019-08-28T13:00:00,2019-08-28T15:00:00
SummerII2019,79090,NHS 210,R,2019-08-29T13:00:00,2019-08-29T15:00:00
SummerII2019,79090,NHS 210,F,2019-08-30T13:00:00,2019-08-30T15:00:00
SummerII2019,79015,BNW 129B,M,2019-07-08T08:00:00,2019-07-08T10:00:00
SummerII2019,79015,BNW 129B,T,2019-07-09T08:00:00,2019-07-09T10:00:00
SummerII2019,79015,BNW 129B,W,2019-07-10T08:00:00,2019-07-10T10:00:00
SummerII2019,79015,BNW 129B,R,2019-07-11T08:00:00,2019-07-11T10:00:00
SummerII2019,79015,BNW 129B,M,2019-07-15T08:00:00,2019-07-15T10:00:00
SummerII2019,79015,BNW 129B,T,2019-07-16T08:00:00,2019-07-16T10:00:00
SummerII2019,79015,BNW 129B,W,2019-07-17T08:00:00,2019-07-17T10:00:00
SummerII2019,79015,BNW 129B,R,2019-07-18T08:00:00,2019-07-18T10:00:00
SummerII2019,79015,BNW 129B,M,2019-07-22T08:00:00,2019-07-22T10:00:00
SummerII2019,79015,BNW 129B,T,2019-07-23T08:00:00,2019-07-23T10:00:00
SummerII2019,79015,BNW 129B,W,2019-07-24T08:00:00,2019-07-24T10:00:00
SummerII2019,79015,BNW 129B,R,2019-07-25T08:00:00,2019-07-25T10:00:00
SummerII2019,79015,BNW 129B,M,2019-07-29T08:00:00,2019-07-29T10:00:00
SummerII2019,79015,BNW 129B,T,2019-07-30T08:00:00,2019-07-30T10:00:00
SummerII2019,79015,BNW 129B,W,2019-07-31T08:00:00,2019-07-31T10:00:00
SummerII2019,79015,BNW 129B,R,2019-08-01T08:00:00,2019-08-01T10:00:00
SummerII2019,79015,BNW 129B,M,2019-08-05T08:00:00,2019-08-05T10:00:00
SummerII2019,79015,BNW 129B,T,2019-08-06T08:00:00,2019-08-06T10:00:00
SummerII2019,79015,BNW 129B,W,2019-08-07T08:00:00,2019-08-07T10:00:00
SummerII2019,79015,BNW 129B,R,2019-08-08T08:00:00,2019-08-08T10:00:00
SummerII2019,79016,BNW 264,T,2019-07-09T10:05:00,2019-07-09T12:55:00
SummerII2019,79016,BNW 264,R,2019-07-11T10:05:00,2019-07-11T12:55:00
SummerII2019,79016,BNW 264,T,2019-07-16T10:05:00,2019-07-16T12:55:00
SummerII2019,79016,BNW 264,R,2019-07-18T10:05:00,2019-07-18T12:55:00
SummerII2019,79016,BNW 264,T,2019-07-23T10:05:00,2019-07-23T12:55:00
SummerII2019,79016,BNW 264,R,2019-07-25T10:05:00,2019-07-25T12:55:00
SummerII2019,79016,BNW 264,T,2019-07-30T10:05:00,2019-07-30T12:55:00
SummerII2019,79016,BNW 264,R,2019-08-01T10:05:00,2019-08-01T12:55:00
SummerII2019,79016,BNW 264,T,2019-08-06T10:05:00,2019-08-06T12:55:00
SummerII2019,79016,BNW 264,R,2019-08-08T10:05:00,2019-08-08T12:55:00
SummerII2019,79074,DMH 349,M,2019-07-08T08:00:00,2019-07-08T10:00:00
SummerII2019,79074,DMH 349,T,2019-07-09T08:00:00,2019-07-09T10:00:00
SummerII2019,79074,DMH 349,W,2019-07-10T08:00:00,2019-07-10T10:00:00
SummerII2019,79074,DMH 349,R,2019-07-11T08:00:00,2019-07-11T10:00:00
SummerII2019,79074,DMH 349,F,2019-07-12T08:00:00,2019-07-12T10:00:00
SummerII2019,79074,DMH 349,M,2019-07-15T08:00:00,2019-07-15T10:00:00
SummerII2019,79074,DMH 349,T,2019-07-16T08:00:00,2019-07-16T10:00:00
SummerII2019,79074,DMH 349,W,2019-07-17T08:00:00,2019-07-17T10:00:00
SummerII2019,79074,DMH 349,R,2019-07-18T08:00:00,2019-07-18T10:00:00
SummerII2019,79074,DMH 349,F,2019-07-19T08:00:00,2019-07-19T10:00:00
SummerII2019,79074,DMH 349,M,2019-07-22T08:00:00,2019-07-22T10:00:00
SummerII2019,79074,DMH 349,T,2019-07-23T08:00:00,2019-07-23T10:00:00
SummerII2019,79074,DMH 349,W,2019-07-24T08:00:00,2019-07-24T10:00:00
SummerII2019,79074,DMH 349,R,2019-07-25T08:00:00,2019-07-25T10:00:00
SummerII2019,79074,DMH 349,F,2019-07-26T08:00:00,2019-07-26T10:00:00
SummerII2019,79074,DMH 349,M,2019-07-29T08:00:00,2019-07-29T10:00:00
SummerII2019,79074,DMH 349,T,2019-07-30T08:00:00,2019-07-30T10:00:00
SummerII2019,79074,DMH 349,W,2019-07-31T08:00:00,2019-07-31T10:00:00
SummerII2019,79074,DMH 349,R,2019-08-01T08:00:00,2019-08-01T10:00:00
SummerII2019,79074,DMH 349,F,2019-08-02T08:00:00,2019-08-02T10:00:00
SummerII2019,79074,DMH 349,M,2019-08-05T08:00:00,2019-08-05T10:00:00
SummerII2019,79074,DMH 349,T,2019-08-06T08:00:00,2019-08-06T10:00:00
SummerII2019,79074,DMH 349,W,2019-08-07T08:00:00,2019-08-07T10:00:00
SummerII2019,79074,DMH 349,R,2019-08-08T08:00:00,2019-08-08T10:00:00
SummerII2019,79074,DMH 349,F,2019-08-09T08:00:00,2019-08-09T10:00:00
SummerII2019,79075,BNW 362,T,2019-07-09T10:30:00,2019-07-09T13:30:00
SummerII2019,79075,BNW 362,W,2019-07-10T10:30:00,2019-07-10T13:30:00
SummerII2019,79075,BNW 362,R,2019-07-11T10:30:00,2019-07-11T13:30:00
SummerII2019,79075,BNW 362,T,2019-07-16T10:30:00,2019-07-16T13:30:00
SummerII2019,79075,BNW 362,W,2019-07-17T10:30:00,2019-07-17T13:30:00
SummerII2019,79075,BNW 362,R,2019-07-18T10:30:00,2019-07-18T13:30:00
SummerII2019,79075,BNW 362,T,2019-07-23T10:30:00,2019-07-23T13:30:00
SummerII2019,79075,BNW 362,W,2019-07-24T10:30:00,2019-07-24T13:30:00
SummerII2019,79075,BNW 362,R,2019-07-25T10:30:00,2019-07-25T13:30:00
SummerII2019,79075,BNW 362,T,2019-07-30T10:30:00,2019-07-30T13:30:00
SummerII2019,79075,BNW 362,W,2019-07-31T10:30:00,2019-07-31T13:30:00
SummerII2019,79075,BNW 362,R,2019-08-01T10:30:00,2019-08-01T13:30:00
SummerII2019,79075,BNW 362,T,2019-08-06T10:30:00,2019-08-06T13:30:00
SummerII2019,79075,BNW 362,W,2019-08-07T10:30:00,2019-08-07T13:30:00
SummerII2019,79075,BNW 362,R,2019-08-08T10:30:00,2019-08-08T13:30:00
SummerII2019,79081,DMH 350,M,2019-07-08T08:00:00,2019-07-08T10:00:00
SummerII2019,79081,DMH 350,T,2019-07-09T08:00:00,2019-07-09T10:00:00
SummerII2019,79081,DMH 350,W,2019-07-10T08:00:00,2019-07-10T10:00:00
SummerII2019,79081,DMH 350,R,2019-07-11T08:00:00,2019-07-11T10:00:00
SummerII2019,79081,DMH 350,F,2019-07-12T08:00:00,2019-07-12T10:00:00
SummerII2019,79081,DMH 350,M,2019-07-15T08:00:00,2019-07-15T10:00:00
SummerII2019,79081,DMH 350,T,2019-07-16T08:00:00,2019-07-16T10:00:00
SummerII2019,79081,DMH 350,W,2019-07-17T08:00:00,2019-07-17T10:00:00
SummerII2019,79081,DMH 350,R,2019-07-18T08:00:00,2019-07-18T10:00:00
SummerII2019,79081,DMH 350,F,2019-07-19T08:00:00,2019-07-19T10:00:00
SummerII2019,79081,DMH 350,M,2019-07-22T08:00:00,2019-07-22T10:00:00
SummerII2019,79081,DMH 350,T,2019-07-23T08:00:00,2019-07-23T10:00:00
SummerII2019,79081,DMH 350,W,2019-07-24T08:00:00,2019-07-24T10:00:00
SummerII2019,79081,DMH 350,R,2019-07-25T08:00:00,2019-07-25T10:00:00
SummerII2019,79081,DMH 350,F,2019-07-26T08:00:00,2019-07-26T10:00:00
SummerII2019,79081,DMH 350,M,2019-07-29T08:00:00,2019-07-29T10:00:00
SummerII2019,79081,DMH 350,T,2019-07-30T08:00:00,2019-07-30T10:00:00
SummerII2019,79081,DMH 350,W,2019-07-31T08:00:00,2019-07-31T10:00:00
SummerII2019,79081,DMH 350,R,2019-08-01T08:00:00,2019-08-01T10:00:00
SummerII2019,79081,DMH 350,F,2019-08-02T08:00:00,2019-08-02T10:00:00
SummerII2019,79081,DMH 350,M,2019-08-05T08:00:00,2019-08-05T10:00:00
SummerII2019,79081,DMH 350,T,2019-08-06T08:00:00,2019-08-06T10:00:00
SummerII2019,79081,DMH 350,W,2019-08-07T08:00:00,2019-08-07T10:00:00
SummerII2019,79081,DMH 350,R,2019-08-08T08:00:00,2019-08-08T10:00:00
SummerII2019,79081,DMH 350,F,2019-08-09T08:00:00,2019-08-09T10:00:00
SummerII2019,79084,BNW 339,T,2019-07-09T11:30:00,2019-07-09T15:30:00
SummerII2019,79084,BNW 339,W,2019-07-10T11:30:00,2019-07-10T15:30:00
SummerII2019,79084,BNW 339,R,2019-07-11T11:30:00,2019-07-11T15:30:00
SummerII2019,79084,BNW 339,T,2019-07-16T11:30:00,2019-07-16T15:30:00
SummerII2019,79084,BNW 339,W,2019-07-17T11:30:00,2019-07-17T15:30:00
SummerII2019,79084,BNW 339,R,2019-07-18T11:30:00,2019-07-18T15:30:00
SummerII2019,79084,BNW 339,T,2019-07-23T11:30:00,2019-07-23T15:30:00
SummerII2019,79084,BNW 339,W,2019-07-24T11:30:00,2019-07-24T15:30:00
SummerII2019,79084,BNW 339,R,2019-07-25T11:30:00,2019-07-25T15:30:00
SummerII2019,79084,BNW 339,T,2019-07-30T11:30:00,2019-07-30T15:30:00
SummerII2019,79084,BNW 339,W,2019-07-31T11:30:00,2019-07-31T15:30:00
SummerII2019,79084,BNW 339,R,2019-08-01T11:30:00,2019-08-01T15:30:00
SummerII2019,79084,BNW 339,T,2019-08-06T11:30:00,2019-08-06T15:30:00
SummerII2019,79084,BNW 339,W,2019-08-07T11:30:00,2019-08-07T15:30:00
SummerII2019,79084,BNW 339,R,2019-08-08T11:30:00,2019-08-08T15:30:00
SummerII2019,79066,NHS 203,R,2019-07-11T18:30:00,2019-07-11T21:00:00
SummerII2019,79066,NHS 203,R,2019-07-18T18:30:00,2019-07-18T21:00:00
SummerII2019,79066,NHS 203,R,2019-07-25T18:30:00,2019-07-25T21:00:00
SummerII2019,79040,DMH 347,T,2019-07-09T16:30:00,2019-07-09T20:30:00
SummerII2019,79040,DMH 347,R,2019-07-11T16:30:00,2019-07-11T20:30:00
SummerII2019,79040,DMH 347,T,2019-07-16T16:30:00,2019-07-16T20:30:00
SummerII2019,79040,DMH 347,R,2019-07-18T16:30:00,2019-07-18T20:30:00
SummerII2019,79040,DMH 347,T,2019-07-23T16:30:00,2019-07-23T20:30:00
SummerII2019,79040,DMH 347,R,2019-07-25T16:30:00,2019-07-25T20:30:00
SummerII2019,79040,DMH 347,T,2019-07-30T16:30:00,2019-07-30T20:30:00
SummerII2019,79040,DMH 347,R,2019-08-01T16:30:00,2019-08-01T20:30:00
SummerII2019,79018,MCA 107,M,2019-07-08T09:30:00,2019-07-08T12:30:00
SummerII2019,79018,MCA 107,T,2019-07-09T09:30:00,2019-07-09T12:30:00
SummerII2019,79018,MCA 107,W,2019-07-10T09:30:00,2019-07-10T12:30:00
SummerII2019,79018,MCA 107,R,2019-07-11T09:30:00,2019-07-11T12:30:00
SummerII2019,79018,MCA 107,F,2019-07-12T09:30:00,2019-07-12T12:30:00
SummerII2019,79018,MCA 107,M,2019-07-15T09:30:00,2019-07-15T12:30:00
SummerII2019,79018,MCA 107,T,2019-07-16T09:30:00,2019-07-16T12:30:00
SummerII2019,79018,MCA 107,W,2019-07-17T09:30:00,2019-07-17T12:30:00
SummerII2019,79018,MCA 107,R,2019-07-18T09:30:00,2019-07-18T12:30:00
SummerII2019,79018,MCA 107,F,2019-07-19T09:30:00,2019-07-19T12:30:00
SummerII2019,79019,MCA 107,M,2019-07-08T09:30:00,2019-07-08T12:30:00
SummerII2019,79019,MCA 107,T,2019-07-09T09:30:00,2019-07-09T12:30:00
SummerII2019,79019,MCA 107,W,2019-07-10T09:30:00,2019-07-10T12:30:00
SummerII2019,79019,MCA 107,R,2019-07-11T09:30:00,2019-07-11T12:30:00
SummerII2019,79019,MCA 107,F,2019-07-12T09:30:00,2019-07-12T12:30:00
SummerII2019,79019,MCA 107,M,2019-07-15T09:30:00,2019-07-15T12:30:00
SummerII2019,79019,MCA 107,T,2019-07-16T09:30:00,2019-07-16T12:30:00
SummerII2019,79019,MCA 107,W,2019-07-17T09:30:00,2019-07-17T12:30:00
SummerII2019,79019,MCA 107,R,2019-07-18T09:30:00,2019-07-18T12:30:00
SummerII2019,79019,MCA 107,F,2019-07-19T09:30:00,2019-07-19T12:30:00
SummerII2019,79020,MCA 206,M,2019-07-08T18:45:00,2019-07-08T20:45:00
SummerII2019,79020,MCA 206,T,2019-07-09T18:45:00,2019-07-09T20:45:00
SummerII2019,79020,MCA 206,W,2019-07-10T18:45:00,2019-07-10T20:45:00
SummerII2019,79020,MCA 206,R,2019-07-11T18:45:00,2019-07-11T20:45:00
SummerII2019,79020,MCA 206,M,2019-07-15T18:45:00,2019-07-15T20:45:00
SummerII2019,79020,MCA 206,T,2019-07-16T18:45:00,2019-07-16T20:45:00
SummerII2019,79020,MCA 206,W,2019-07-17T18:45:00,2019-07-17T20:45:00
SummerII2019,79020,MCA 206,R,2019-07-18T18:45:00,2019-07-18T20:45:00
SummerII2019,79020,MCA 206,M,2019-07-22T18:45:00,2019-07-22T20:45:00
SummerII2019,79020,MCA 206,T,2019-07-23T18:45:00,2019-07-23T20:45:00
SummerII2019,79020,MCA 206,W,2019-07-24T18:45:00,2019-07-24T20:45:00
SummerII2019,79020,MCA 206,R,2019-07-25T18:45:00,2019-07-25T20:45:00
SummerII2019,79020,MCA 206,M,2019-07-29T18:45:00,2019-07-29T20:45:00
SummerII2019,79020,MCA 206,T,2019-07-30T18:45:00,2019-07-30T20:45:00
SummerII2019,79020,MCA 206,W,2019-07-31T18:45:00,2019-07-31T20:45:00
SummerII2019,79020,MCA 206,R,2019-08-01T18:45:00,2019-08-01T20:45:00
SummerII2019,79020,MCA 206,M,2019-08-05T18:45:00,2019-08-05T20:45:00
SummerII2019,79020,MCA 206,T,2019-08-06T18:45:00,2019-08-06T20:45:00
SummerII2019,79020,MCA 206,W,2019-08-07T18:45:00,2019-08-07T20:45:00
