term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
SummerII2019,79008,AC 0204,01,3.000,Intermediate Accounting II,"[{'days': 'M', 'times': '0600pm-0945pm', 'dates': '07/01-07/01', 'location': 'DSB 104'}, {'days': 'MW', 'times': '0600pm-0945pm', 'dates': '07/08-07/31', 'location': 'DSB 104'}, {'days': 'T', 'times': '0600pm-0945pm', 'dates': '07/30-07/30', 'location': 'DSB 104'}]","['M 0600pm-0945pm 07/01-07/01 DSB 104', 'MW 0600pm-0945pm 07/08-07/31 DSB 104', 'MW 0600pm-0945pm 07/08-07/31 DSB 104', 'T 0600pm-0945pm 07/30-07/30 DSB 104', 'T 0600pm-0945pm 07/30-07/30 DSB 104']",Scott M  Brenner,Scott M  Brenner (P),25,7,18
SummerII2019,79039,AC 0400,OL1,3.000,Introduction to Accounting,"[{'days': 'TW', 'times': '0630pm-0930pm', 'dates': '07/24-07/30', 'location': 'ONLINE '}]","['TW 0630pm-0930pm 07/24-07/30 ONLINE ', 'TW 0630pm-0930pm 07/24-07/30 ONLINE ']",Michael P.  Coyne,Michael P.  Coyne (P),20,9,11
SummerII2019,79085,AS 0406,01,3.000,"Power, Politics, and Institutions in the United States","[{'days': 'TWR', 'times': '0500pm-0900pm', 'dates': '07/09-07/23', 'location': 'MCA 102'}, {'days': 'S', 'times': '0930am-0130pm', 'dates': '07/13-07/20', 'location': 'MCA 102'}]","['TWR 0500pm-0900pm 07/09-07/23 MCA 102', 'S 0930am-0130pm 07/13-07/20 MCA 102', 'S 0930am-0130pm 07/13-07/20 MCA 102']",Gwendoline M.  Alphonso,Gwendoline M.  Alphonso (P),15,6,9
SummerII2019,79011,AY 0110,OL1,3.000,Biological Anthropology,[],[],Joseph A.  Wilson,Joseph A.  Wilson (P),20,18,2
SummerII2019,79076,AY 0110,OL2,3.000,Biological Anthropology,[],[],Sarah A.  Wessler,Sarah A.  Wessler (P),20,22,-2
SummerII2019,79009,AE 0291,OL1,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,Lisa M.  Sticca-Conrod (P),20,12,8
SummerII2019,79010,AH 0011,OL1,3.000,Visual Culture Since 1400: Expression and Experimentation,[],[],Lauren Elise  Cesiro,Lauren Elise  Cesiro (P),20,16,4
SummerII2019,79012,BI 0070,OL1,3.000,"Science, Technology, and Society",[],[],Debra S.  Sauer,Debra S.  Sauer (P),20,12,8
SummerII2019,79013,BI 0071,01,3.000,Identity and the Human Genome,"[{'days': 'MTWRF', 'times': '0930am-1230pm', 'dates': '07/08-07/19', 'location': 'NHS 411'}]",['MTWRF 0930am-1230pm 07/08-07/19 NHS 411'],Olivia T.  Harriott,Olivia T.  Harriott (P),13,4,9
SummerII2019,79014,BI 0071,01S,3.000,Identity and the Human Genome,"[{'days': 'MTWRF', 'times': '0930am-1230pm', 'dates': '07/08-07/19', 'location': 'NHS 411'}]",['MTWRF 0930am-1230pm 07/08-07/19 NHS 411'],Olivia T.  Harriott,Olivia T.  Harriott (P),7,4,3
SummerII2019,79099,BI 0076,OL1,3.000,Environmental Science,[],[],James E.  Biardi,James E.  Biardi (P),20,16,4
SummerII2019,79089,BI 0088,AI1,3.000,Biomedical Science and Society,"[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '08/05-08/30', 'location': 'NHS 210'}]",['MTWRF 0900am-1100am 08/05-08/30 NHS 210'],Jillian E.  Smith-Carpenter,Jillian E.  Smith-Carpenter (P),25,14,11
