term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Winter2019,11933,AY 0110,OL1,3.000,Biological Anthropology,[],[],Joseph A.  Wilson,Joseph A.  Wilson (P),20,17,3
Winter2019,11931,AE 0291,OL1,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,Lisa M.  Sticca-Conrod (P),20,13,7
Winter2019,11932,AH 0011,OL1,3.000,Visual Culture Since 1400: Expression and Experimentation,[],[],Lauren Elise  Cesiro,Lauren Elise  Cesiro (P),20,6,14
Winter2019,11916,BI 0071,OL1,3.000,Identity and the Human Genome,[],[],Christine R.  Rodriguez,Christine R.  Rodriguez (P),20,15,5
Winter2019,11905,BI 0075,OL1,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,Thomas B.  Cunningham (P),20,20,0
Winter2019,11934,BI 0078,OL1,3.000,Introduction to Marine Science,[],[],Thomas B.  Cunningham,Thomas B.  Cunningham (P),20,20,0
Winter2019,11901,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/10-01/16', 'location': 'DSB 109'}]",['MTWRF 0830am-0430pm 01/10-01/16 DSB 109'],Sharlene A.  McEvoy,Sharlene A.  McEvoy (P),25,14,11
Winter2019,11906,CO 0100,OL1,3.000,Human Communication Theories,[],[],Qin   Zhang,Qin   Zhang (P),20,9,11
Winter2019,11907,CO 0240,OL1,3.000,Intercultural Communication,[],[],Qin   Zhang,Qin   Zhang (P),20,16,4
Winter2019,11947,CO 0560,NB,3.000,Thesis Proposal,[],[],Niall P.  Brennan,Niall P.  Brennan (P),1,1,0
Winter2019,11948,CO 0598,MP,3.000,Independent Study,[],[],Michael P.  Pagano,Michael P.  Pagano (P),1,1,0
Winter2019,11950,CO 0598,QZ,3.000,Independent Study,[],[],Qin   Zhang,Qin   Zhang (P),1,1,0
Winter2019,11949,CO 0598,SH,3.000,Independent Study,[],[],Sean   Horan,Sean   Horan (P),1,1,0
Winter2019,11935,EC 0011,OL1,3.000,Introduction to Microeconomics,[],[],William F.  Vasquez Mazariegos,William F.  Vasquez Mazariegos (P),20,7,13
Winter2019,11909,EN 0163,OL1,3.000,The Literature of Illness and Healing: Wounded Storytellers and Dedicated Healers,[],[],Jacqueline   Rinaldi,Jacqueline   Rinaldi (P),20,20,0
Winter2019,11924,FI 0101,OL1,3.000,Introduction to Finance,[],[],Nazli S.  Alan,Nazli S.  Alan (P),20,7,13
Winter2019,11903,FI 0500,01,3.000,Shareholder Value,"[{'days': 'MTWRF', 'times': '0600pm-0930pm', 'dates': '01/04-01/11', 'location': 'DSB 114'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/05-01/12', 'location': 'DSB 114'}]","['MTWRF 0600pm-0930pm 01/04-01/11 DSB 114', 'S 0830am-0430pm 01/05-01/12 DSB 114', 'S 0830am-0430pm 01/05-01/12 DSB 114']",Thomas E.  Conine,Thomas E.  Conine (P),16,6,10
Winter2019,11937,IS 0100,OL1,3.000,Introduction to Information Systems,[],[],Yasin   Ozcelik,Yasin   Ozcelik (P),20,6,14
Winter2019,11902,MG 0500,01,3.000,Leadership,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/03-01/16', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0530pm', 'dates': '01/03-01/16', 'location': 'DSB 115'}]","['MTWR 0600pm-0930pm 01/03-01/16 DSB 115', 'S 0830am-0530pm 01/03-01/16 DSB 115', 'S 0830am-0530pm 01/03-01/16 DSB 115']",Lisa A.  Mainiero,Lisa A.  Mainiero (P),16,14,2
Winter2019,11923,MK 0101,OL1,3.000,Principles of Marketing,[],[],Camelia   Micu,Camelia   Micu (P),20,15,5
Winter2019,11938,MK 0241,OL1,3.000,Digital Marketing,[],[],Camelia   Micu,Camelia   Micu (P),20,26,-6
Winter2019,11946,MA 0217,OL1,3.000,Accelerated Statistics,[],[],Irene T.  Mulvey,Irene T.  Mulvey (P),20,15,5
Winter2019,11918,MU 0102,01,3.000,History and Development of Rock,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/10-01/16', 'location': 'JGS 25'}]",['MTWRF 0830am-0430pm 01/10-01/16 JGS 25'],Brian Q.  Torff,Brian Q.  Torff (P),20,10,10
Winter2019,11939,MU 0104,OL1,3.000,History of Music: 1700-1964,[],[],Michael Anthony  Ciavaglia,Michael Anthony  Ciavaglia (P),20,20,0
Winter2019,11940,MU 0201,OL1,3.000,Hip-Hop and Its Antecedants,[],[],Laura   Nash,Laura   Nash (P),20,8,12
Winter2019,11941,NS 0605,OL1,3.000,Advanced Healthcare Policy,[],[],Karen H.  Burrows,Karen H.  Burrows (P),20,2,18
Winter2019,11914,NS 0687,01,1.000-6.000,DNP Immersion,[],[],Joyce Muriel  Shea,Joyce Muriel  Shea (P),30,1,29
Winter2019,11910,PS 0078,OL1,3.000,The Nature of the Universe,[],[],Joachim   Kuhn,Joachim   Kuhn (P),20,19,1
Winter2019,11943,PO 0276,OL1,3.000,United States Foreign Policy,[],[],Lucrecia   Garcia Iommi,Lucrecia   Garcia Iommi (P),20,6,14
Winter2019,11926,PY 0131,OL1,3.000,Abnormal Psychology for Non-Majors,[],[],Margaret M.  McClure,Margaret M.  McClure (P),20,11,9
Winter2019,11911,RS 0101D,OL1,3.000,Exploring Religion: Religion in a Comparative Key,[],[],Erik J.  Ranstrom,Erik J.  Ranstrom (P),20,16,4
Winter2019,11944,RS 0101E,OL1,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities",[],[],Jeremy L.  Sabella,Jeremy L.  Sabella (P),20,5,15
Winter2019,11919,RS 0252,OL1,3.000,Contemporary Moral Problems,[],[],Christian   Cintron,Christian   Cintron (P),20,18,2
Winter2019,11912,SO 0279,01,3.000,Criminal Justice System Seminar,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/10-01/16', 'location': 'DMH 347'}]",['MTWRF 0830am-0430pm 01/10-01/16 DMH 347'],Rose P.  Rodrigues,Rose P.  Rodrigues (P),20,11,9
Winter2019,11920,SA 0012,01,3.000,Introduction to Drawing,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/10-01/16', 'location': 'LYL 22'}]",['MTWRF 0830am-0430pm 01/10-01/16 LYL 22'],Kevin W.  Ford,Kevin W.  Ford (P),16,14,2
