term,crn,location,day,start,end
Winter2020,12001,DSBN 115,R,2020-01-02T08:30:00,2020-01-02T16:30:00
Winter2020,12001,DSBN 115,F,2020-01-03T08:30:00,2020-01-03T16:30:00
Winter2020,12001,DSBN 115,M,2020-01-06T08:30:00,2020-01-06T16:30:00
Winter2020,12001,DSBN 115,T,2020-01-07T08:30:00,2020-01-07T16:30:00
Winter2020,12001,DSBN 115,W,2020-01-08T08:30:00,2020-01-08T16:30:00
Winter2020,12039,DMH 350,R,2020-01-02T08:30:00,2020-01-02T16:30:00
Winter2020,12039,DMH 350,F,2020-01-03T08:30:00,2020-01-03T16:30:00
Winter2020,12039,DMH 350,M,2020-01-06T08:30:00,2020-01-06T16:30:00
Winter2020,12039,DMH 350,T,2020-01-07T08:30:00,2020-01-07T16:30:00
Winter2020,12039,DMH 350,W,2020-01-08T08:30:00,2020-01-08T16:30:00
Winter2020,12003,DSBN 204,F,2020-01-03T18:00:00,2020-01-03T21:30:00
Winter2020,12003,DSBN 204,M,2020-01-06T18:00:00,2020-01-06T21:30:00
Winter2020,12003,DSBN 204,T,2020-01-07T18:00:00,2020-01-07T21:30:00
Winter2020,12003,DSBN 204,W,2020-01-08T18:00:00,2020-01-08T21:30:00
Winter2020,12003,DSBN 204,R,2020-01-09T18:00:00,2020-01-09T21:30:00
Winter2020,12003,DSBN 204,F,2020-01-10T18:00:00,2020-01-10T21:30:00
Winter2020,12003,DSBN 204,S,2020-01-04T08:30:00,2020-01-04T16:30:00
Winter2020,12003,DSBN 204,S,2020-01-11T08:30:00,2020-01-11T16:30:00
Winter2020,12002,DSBN 110,R,2020-01-02T18:00:00,2020-01-02T22:00:00
Winter2020,12002,DSBN 110,F,2020-01-03T18:00:00,2020-01-03T22:00:00
Winter2020,12002,DSBN 110,M,2020-01-06T18:00:00,2020-01-06T22:00:00
Winter2020,12002,DSBN 110,T,2020-01-07T18:00:00,2020-01-07T22:00:00
Winter2020,12002,DSBN 110,W,2020-01-08T18:00:00,2020-01-08T22:00:00
Winter2020,12002,DSBN 110,R,2020-01-09T18:00:00,2020-01-09T22:00:00
Winter2020,12002,DSBN 110,F,2020-01-10T18:00:00,2020-01-10T22:00:00
Winter2020,12002,DSBN 101,S,2020-01-04T08:30:00,2020-01-04T16:30:00
Winter2020,12002,DSBN 101,S,2020-01-11T08:30:00,2020-01-11T16:30:00
Winter2020,12042,DSBN 111,R,2020-01-02T18:00:00,2020-01-02T22:00:00
Winter2020,12042,DSBN 111,F,2020-01-03T18:00:00,2020-01-03T22:00:00
Winter2020,12042,DSBN 111,M,2020-01-06T18:00:00,2020-01-06T22:00:00
Winter2020,12042,DSBN 111,T,2020-01-07T18:00:00,2020-01-07T22:00:00
Winter2020,12042,DSBN 111,W,2020-01-08T18:00:00,2020-01-08T22:00:00
Winter2020,12042,DSBN 111,R,2020-01-09T18:00:00,2020-01-09T22:00:00
Winter2020,12042,DSBN 111,F,2020-01-10T18:00:00,2020-01-10T22:00:00
Winter2020,12042,DSBN 111,S,2020-01-04T08:30:00,2020-01-04T16:30:00
Winter2020,12042,DSBN 111,S,2020-01-11T08:30:00,2020-01-11T16:30:00
Winter2020,12013,CNS 1,R,2020-01-02T08:30:00,2020-01-02T16:30:00
Winter2020,12013,CNS 1,F,2020-01-03T08:30:00,2020-01-03T16:30:00
Winter2020,12013,CNS 1,M,2020-01-06T08:30:00,2020-01-06T16:30:00
Winter2020,12013,CNS 1,T,2020-01-07T08:30:00,2020-01-07T16:30:00
Winter2020,12013,CNS 1,W,2020-01-08T08:30:00,2020-01-08T16:30:00
Winter2020,12047,CNS 9,R,2020-01-02T17:30:00,2020-01-02T21:30:00
Winter2020,12047,CNS 9,T,2020-01-07T17:30:00,2020-01-07T21:30:00
Winter2020,12047,CNS 9,R,2020-01-09T17:30:00,2020-01-09T21:30:00
Winter2020,12015,LYL 22,R,2020-01-02T08:30:00,2020-01-02T16:30:00
Winter2020,12015,LYL 22,F,2020-01-03T08:30:00,2020-01-03T16:30:00
Winter2020,12015,LYL 22,M,2020-01-06T08:30:00,2020-01-06T16:30:00
Winter2020,12015,LYL 22,T,2020-01-07T08:30:00,2020-01-07T16:30:00
Winter2020,12015,LYL 22,W,2020-01-08T08:30:00,2020-01-08T16:30:00
Winter2020,12043,DSBN 111,R,2020-01-02T09:00:00,2020-01-02T12:00:00
Winter2020,12043,DSBN 111,U,2020-01-05T09:00:00,2020-01-05T12:00:00
Winter2020,12043,DSBN 111,T,2020-01-07T09:00:00,2020-01-07T12:00:00
Winter2020,12043,DSBN 111,F,2020-01-03T09:00:00,2020-01-03T16:00:00
Winter2020,12043,DSBN 111,W,2020-01-08T09:00:00,2020-01-08T16:00:00
Winter2020,12043,DSBN 111,M,2020-01-06T09:00:00,2020-01-06T13:00:00
Winter2020,12043,DSBN 111,F,2020-01-10T09:00:00,2020-01-10T17:00:00
