customer_id,first_date,last_date
1,,2019-02-13 00:00:00
2,1899-12-30 00:00:00,2019-04-06 00:00:00
3,1899-12-30 00:00:00,2020-03-16 00:00:00
4,1899-12-30 00:00:00,2019-12-30 00:00:00
5,1997-02-19 00:00:00,2019-05-08 00:00:00
6,1997-02-19 00:00:00,2019-12-30 00:00:00
7,1997-03-11 00:00:00,2020-03-06 00:00:00
8,1997-03-11 00:00:00,2019-01-16 00:00:00
9,1997-03-11 00:00:00,2019-02-08 00:00:00
10,1997-03-11 00:00:00,2020-03-09 00:00:00
11,1997-03-11 00:00:00,2019-12-24 00:00:00
12,1997-03-11 00:00:00,2020-03-05 00:00:00
13,1997-03-11 00:00:00,2020-03-13 00:00:00
14,1997-03-11 00:00:00,2020-03-16 00:00:00
15,1997-03-11 00:00:00,2020-03-11 00:00:00
16,1997-03-11 00:00:00,2019-03-05 00:00:00
17,1997-03-11 00:00:00,2020-03-10 00:00:00
18,1997-03-11 00:00:00,2019-04-01 00:00:00
19,1997-03-11 00:00:00,2019-11-07 00:00:00
20,1997-03-11 00:00:00,2020-01-27 00:00:00
21,1997-03-11 00:00:00,2019-03-08 00:00:00
22,1997-03-11 00:00:00,2019-11-22 00:00:00
23,1997-03-11 00:00:00,2020-02-05 00:00:00
24,1997-03-11 00:00:00,2020-02-17 00:00:00
25,1997-03-11 00:00:00,2020-03-09 00:00:00
26,1997-03-11 00:00:00,2020-02-29 00:00:00
27,1997-03-11 00:00:00,2020-02-27 00:00:00
28,1997-03-11 00:00:00,2020-03-10 00:00:00
29,1997-03-11 00:00:00,2020-02-26 00:00:00
30,1997-03-11 00:00:00,2020-03-08 00:00:00
31,1997-03-11 00:00:00,2020-03-16 00:00:00
32,1997-03-11 00:00:00,2019-05-26 00:00:00
33,1997-03-11 00:00:00,2020-03-06 00:00:00
34,1997-03-11 00:00:00,2019-04-01 00:00:00
35,1997-03-11 00:00:00,2020-01-27 00:00:00
36,1997-03-11 00:00:00,2020-03-16 00:00:00
37,1997-03-11 00:00:00,2019-06-22 00:00:00
38,1997-03-11 00:00:00,2020-03-17 00:00:00
39,1997-03-11 00:00:00,2020-03-14 00:00:00
40,1997-03-11 00:00:00,2019-12-09 00:00:00
41,1997-03-12 00:00:00,2019-09-19 00:00:00
42,1997-03-12 00:00:00,2019-04-05 00:00:00
43,1997-03-12 00:00:00,2020-02-25 00:00:00
44,1997-03-12 00:00:00,2020-02-13 00:00:00
45,1997-03-12 00:00:00,2020-02-24 00:00:00
46,1997-03-12 00:00:00,2020-03-19 00:00:00
47,1997-03-12 00:00:00,2019-11-21 00:00:00
48,1997-03-12 00:00:00,2020-01-25 00:00:00
49,1997-03-12 00:00:00,2020-03-09 00:00:00
50,1997-03-12 00:00:00,2020-01-05 00:00:00
51,1997-03-12 00:00:00,2020-02-14 00:00:00
52,1997-03-12 00:00:00,2019-12-27 00:00:00
53,1997-03-12 00:00:00,2019-10-25 00:00:00
